row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
18  22  4.05836e+06
18  23  1.22824e+07
18  24  2.30118e+07
18  25  1.11954e+07
18  26  0
18  27  250066
18  28  2.28871e+06
18  29  0
18  30  0
18  31  5.88149e+06
18  32  2.76474e+06
18  33  1.04613e+07
18  34  2.32386e+07
18  35  1.50106e+07
18  36  3.16929e+06
18  37  1.5632e+07
18  38  6.80493e+06
18  39  1.83584e+07
18  40  1.82474e+07
18  41  9.81826e+06
18  42  1.81996e+07
18  43  2.02783e+07
18  44  1.0492e+07
18  45  2.47219e+07
18  46  1.2305e+07
18  47  1.77185e+07
18  48  3.49848e+07
18  49  3.0627e+07
18  50  3.18989e+07
19  0  3.68445e+07
19  1  5.00166e+07
19  2  2.41685e+07
19  3  0
19  4  8.78962e+06
19  5  0
19  6  1.46397e+07
19  7  2.28182e+07
19  8  1.0263e+07
19  9  7.73528e+06
19  10  1.35625e+07
19  11  2.69631e+07
19  12  0
19  13  9.53938e+06
19  14  2.41366e+07
19  15  1.08348e+07
19  16  1.07076e+07
19  17  2.02818e+07
19  18  2.28495e+07
19  19  7.96694e+06
19  20  0
19  21  9.03931e+06
19  22  8.04656e+06
19  23  1.76234e+07
19  24  1.96343e+07
19  25  2.58966e+07
19  26  523936
19  27  1.38022e+07
19  28  0
19  29  0
19  30  0
19  31  0
19  32  3.41061e+06
19  33  4.31742e+06
19  34  9.04001e+06
19  35  1.82052e+07
19  36  9.26684e+06
19  37  1.09492e+07
19  38  1.22465e+07
19  39  1.46754e+07
19  40  1.51476e+07
19  41  1.78478e+07
19  42  1.69952e+07
19  43  1.40706e+07
19  44  1.53097e+07
19  45  1.47866e+07
19  46  2.06663e+07
19  47  1.41292e+07
19  48  2.19969e+07
19  49  3.4137e+07
19  50  3.5724e+07
20  0  2.96168e+07
20  1  5.86983e+07
20  2  3.69979e+07
20  3  1.61825e+07
20  4  2.18802e+07
20  5  1.92264e+07
20  6  1.44731e+07
20  7  1.03808e+07
20  8  1.56252e+07
20  9  1.27627e+07
20  10  1.0062e+07
20  11  0
20  12  2.07858e+07
20  13  7.96243e+06
20  14  8.22882e+06
20  15  1.86041e+07
20  16  1.32041e+07
20  17  1.76441e+07
20  18  1.78006e+07
20  19  8.60388e+06
20  20  0
20  21  1.07661e+07
20  22  6.57878e+06
20  23  1.50522e+07
20  24  1.63252e+07
20  25  7.06816e+06
20  26  9.39231e+06
20  27  2.87908e+06
20  28  1.39159e+06
20  29  1.48714e+07
20  30  3.48297e+06
20  31  0
20  32  0
20  33  8.05719e+06
20  34  0
20  35  0
20  36  1.94646e+07
20  37  3.76373e+07
20  38  0
20  39  1.17076e+07
20  40  2.69034e+07
20  41  0
20  42  4.54749e+06
20  43  1.58652e+07
20  44  2.80745e+07
20  45  2.72769e+07
20  46  2.4667e+07
20  47  2.63724e+07
20  48  3.90357e+07
20  49  3.79211e+07
20  50  4.67031e+07
21  0  3.83114e+07
21  1  4.39178e+07
21  2  4.13399e+07
21  3  2.09757e+07
21  4  1.13343e+07
21  5  1.60777e+07
21  6  0
21  7  1.15477e+07
21  8  1.75833e+07
21  9  1.08338e+07
21  10  0
21  11  2.38727e+07
21  12  1.2672e+07
21  13  2.13348e+07
21  14  1.75209e+07
21  15  0
21  16  1.56132e+07
