row  column  (images_14_017.edf Fe-K*images_14_017.edf Ar-K**(2.3))
8  15  1.60779e+08
8  16  1.46996e+08
8  17  1.37808e+08
8  18  1.78899e+08
8  19  1.81127e+08
8  20  1.30078e+08
8  21  1.22305e+08
8  22  1.26013e+08
8  23  1.48927e+08
8  24  1.18317e+08
8  25  1.0906e+08
8  26  9.29017e+07
8  27  9.27375e+07
8  28  1.14922e+08
8  29  1.09776e+08
8  30  9.34042e+07
8  31  1.07266e+08
8  32  7.33924e+07
8  33  1.02903e+08
8  34  8.57486e+07
8  35  8.28511e+07
8  36  8.46825e+07
8  37  8.89832e+07
8  38  1.1814e+08
8  39  9.81759e+07
8  40  1.43258e+08
8  41  3.5955e+08
8  42  1.73911e+08
8  43  1.17964e+08
8  44  1.35396e+08
8  45  1.17596e+08
8  46  1.12714e+08
8  47  1.36554e+08
8  48  1.71525e+08
8  49  2.73637e+08
8  50  8.36443e+07
8  51  1.79522e+08
8  52  1.26432e+08
8  53  1.23332e+08
8  54  1.35374e+08
8  55  2.32056e+08
8  56  3.76363e+08
8  57  3.14501e+08
8  58  2.08876e+08
8  59  1.79551e+08
8  60  9.40403e+07
8  61  7.10346e+07
8  62  9.56871e+07
8  63  8.20809e+07
8  64  8.35895e+07
8  65  6.78547e+07
8  66  8.8327e+07
8  67  6.6715e+07
8  68  9.66859e+07
8  69  1.04304e+08
8  70  1.13619e+08
8  71  1.10991e+08
8  72  1.08566e+08
8  73  1.81717e+08
8  74  1.18949e+08
8  75  1.21583e+08
8  76  1.13651e+08
8  77  1.01115e+08
8  78  8.89296e+07
8  79  6.1532e+07
8  80  8.19546e+07
8  81  1.09857e+08
8  82  7.78316e+07
8  83  0
8  84  7.96503e+07
8  85  7.81413e+07
8  86  7.83306e+07
8  87  4.22248e+07
8  88  4.84603e+07
8  89  6.13746e+07
8  90  5.99765e+07
8  91  5.28705e+07
8  92  5.25796e+07
8  93  7.05867e+07
8  94  6.77483e+07
8  95  5.71255e+07
