row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
8  9  7.18276e+06
8  10  1.59199e+07
8  11  1.54777e+07
8  12  1.17701e+07
8  13  1.00779e+07
8  14  2.25223e+07
8  15  2.6602e+07
8  16  4.22782e+07
8  17  1.83616e+07
8  18  2.1009e+07
8  19  2.24042e+07
8  20  1.55807e+07
8  21  2.3861e+07
8  22  6.46937e+06
8  23  1.53918e+07
8  24  6.36739e+06
8  25  2.08307e+07
8  26  1.48627e+07
8  27  1.09833e+07
8  28  1.40795e+07
8  29  3.88146e+07
8  30  2.03938e+07
8  31  2.33131e+07
8  32  2.11066e+07
8  33  1.69923e+07
8  34  1.8099e+07
8  35  4.98368e+06
8  36  1.32652e+07
8  37  1.81208e+07
8  38  2.52305e+07
8  39  1.06044e+07
8  40  1.58763e+07
8  41  1.96133e+07
8  42  2.12548e+07
8  43  2.96432e+07
8  44  1.42596e+07
8  45  8.94264e+06
8  46  3.8632e+07
8  47  3.09142e+07
8  48  4.36365e+07
8  49  3.20766e+07
8  50  5.55616e+07
8  51  3.52215e+07
8  52  5.04627e+07
8  53  6.64051e+07
8  54  4.97232e+07
8  55  5.22624e+07
8  56  9.48266e+07
8  57  4.78319e+07
8  58  5.74626e+07
8  59  4.62283e+07
8  60  6.44087e+07
8  61  5.49018e+07
8  62  3.48483e+07
8  63  3.66439e+07
8  64  3.43691e+07
8  65  4.26108e+07
8  66  3.50339e+07
8  67  5.68641e+07
8  68  3.30281e+07
8  69  3.69045e+07
8  70  3.6744e+07
8  71  3.43122e+07
8  72  4.33161e+07
8  73  3.77078e+07
8  74  3.25427e+07
8  75  3.53684e+07
8  76  3.16949e+07
8  77  2.4819e+07
8  78  2.10692e+07
8  79  2.5358e+07
8  80  1.4907e+07
8  81  2.0709e+07
8  82  8.21315e+06
8  83  1.26879e+07
8  84  7.71386e+06
8  85  9.36521e+06
8  86  5.01108e+06
8  87  1.61593e+07
8  88  1.57401e+07
8  89  2.67308e+06
8  90  4.36126e+06
8  91  1.77893e+07
8  92  5.47375e+06
8  93  3.66079e+06
8  94  8.02277e+06
8  95  4.87669e+06
8  96  1.69452e+07
8  97  2.67093e+07
8  98  2.00571e+07
8  99  1.95392e+07
8  100  1.53459e+07
9  0  2.42805e+06
9  1  2.32441e+06
9  2  894579
9  3  4.322e+06
9  4  228001
9  5  3.63482e+06
9  6  3.91622e+06
9  7  5.52324e+06
9  8  7.76183e+06
9  9  6.14226e+06
9  10  1.46751e+07
9  11  1.38971e+07
9  12  9.17792e+06
9  13  8.61662e+06
9  14  1.49157e+07
9  15  1.59433e+07
9  16  1.70862e+07
9  17  2.47823e+07
9  18  1.63262e+07
9  19  1.34677e+07
9  20  8.29447e+06
9  21  1.84535e+07
9  22  2.39776e+07
9  23  1.87099e+07
9  24  1.19633e+07
9  25  1.76948e+07
9  26  5.44081e+06
9  27  1.46192e+07
9  28  2.1406e+07
9  29  3.07783e+07
9  30  2.8401e+07
9  31  1.17729e+07
9  32  1.04511e+07
9  33  1.69381e+07
9  34  1.67976e+07
9  35  1.01424e+07
9  36  2.04958e+07
9  37  1.11509e+07
9  38  5.96757e+06
9  39  1.98775e+07
9  40  1.2888e+07
9  41  2.67379e+07
9  42  2.32225e+07
9  43  1.59647e+07
9  44  2.14111e+07
9  45  1.29244e+07
9  46  1.84973e+07
9  47  2.38867e+07
9  48  3.19667e+07
9  49  5.87046e+07
9  50  3.11269e+07
9  51  6.65313e+07
9  52  4.15983e+07
9  53  4.84532e+07
9  54  5.02744e+07
9  55  6.47575e+07
9  56  7.77547e+07
9  57  6.13023e+07
9  58  6.42101e+07
9  59  3.7648e+07
9  60  3.65422e+07
