row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
8  63  0
8  64  2.72312e+06
8  65  2.95011e+06
8  66  0
8  67  1.41293e+07
8  68  7.07102e+06
8  69  0
8  70  1.25258e+07
8  71  0
8  72  5.25015e+06
8  73  13445
8  74  0
8  75  3.76503e+06
8  76  6.52956e+06
8  77  2.19266e+06
8  78  0
8  79  583446
8  80  0
8  81  7.2716e+06
8  82  0
8  83  806381
8  84  0
8  85  0
8  86  0
8  87  2.58044e+06
8  88  1.59837e+06
8  89  363373
8  90  0
8  91  4.65776e+06
8  92  0
8  93  0
8  94  0
8  95  0
8  96  0
8  97  0
8  98  473724
8  99  605661
8  100  1.52747e+06
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  917016
9  7  3.03733e+06
9  8  1.11146e+06
9  9  823244
9  10  950199
9  11  3.56645e+06
9  12  2.18596e+06
9  13  1.86666e+06
9  14  3.63557e+06
9  15  4.76135e+06
9  16  6.16118e+06
9  17  3.03641e+06
9  18  2.72451e+06
9  19  408696
9  20  1.75923e+06
9  21  4.88994e+06
9  22  1.37878e+07
9  23  2.15531e+06
9  24  0
9  25  823058
9  26  2.15024e+06
9  27  4.29823e+06
9  28  3.27706e+06
9  29  4.71895e+06
9  30  1.00708e+07
9  31  0
9  32  1.24724e+06
9  33  1.96145e+06
9  34  3.5436e+06
9  35  2.10259e+06
9  36  309655
9  37  0
9  38  0
9  39  0
9  40  0
9  41  891558
9  42  0
9  43  4.12147e+06
9  44  0
9  45  0
9  46  0
9  47  502619
9  48  401766
9  49  1.18403e+07
9  50  1.49278e+06
9  51  1.08729e+07
9  52  6.53656e+06
9  53  1.04287e+07
9  54  9.60163e+06
9  55  1.23618e+07
9  56  1.16321e+07
9  57  1.25955e+07
9  58  1.34723e+07
9  59  1.05246e+07
9  60  8.85468e+06
9  61  7.46053e+06
9  62  7.49305e+06
9  63  1.81674e+06
9  64  1.35408e+07
9  65  6.24695e+06
9  66  1.31879e+07
9  67  0
9  68  1.02938e+07
9  69  2.363e+06
9  70  1.44281e+06
9  71  8.75673e+06
9  72  8.9525e+06
9  73  1.04875e+07
9  74  0
9  75  9.29299e+06
9  76  1.18929e+06
9  77  2.46583e+06
9  78  3.23067e+06
9  79  2.15957e+06
9  80  2.33288e+06
9  81  0
9  82  2.39796e+06
9  83  1.35711e+06
9  84  0
9  85  0
9  86  0
9  87  0
9  88  0
9  89  1.45701e+06
9  90  0
9  91  0
9  92  0
9  93  0
9  94  346431
9  95  622382
9  96  0
9  97  373245
9  98  5.8906e+06
9  99  2.0169e+06
9  100  438910
10  0  0
10  1  0
10  2  0
10  3  898891
10  4  311792
10  5  1.50649e+06
10  6  321007
10  7  1.61406e+06
10  8  480371
10  9  4.18403e+06
10  10  1.82047e+06
10  11  8.71291e+06
10  12  572536
10  13  886305
10  14  363863
10  15  3.14656e+06
