row  column  (images_10_7103.edf Fe_K*images_10_7103.edf Ar_K**2.3)
20  47  4.67915e+08
20  48  5.0041e+08
20  49  4.7558e+08
20  50  4.73472e+08
21  0  5.2953e+08
21  1  4.87225e+08
21  2  3.42189e+08
21  3  3.4736e+08
21  4  3.36707e+08
21  5  3.00571e+08
21  6  2.94506e+08
21  7  3.15941e+08
21  8  2.65262e+08
21  9  2.99019e+08
21  10  3.6435e+08
21  11  2.87379e+08
21  12  3.29874e+08
21  13  2.69846e+08
21  14  3.16122e+08
21  15  3.35002e+08
21  16  4.68627e+08
21  17  3.13403e+08
21  18  3.68063e+08
21  19  4.21812e+08
21  20  8.28911e+08
21  21  4.35937e+08
21  22  4.72644e+08
21  23  3.81421e+08
21  24  4.30502e+08
21  25  5.69645e+08
21  26  8.01182e+08
21  27  5.42202e+08
21  28  4.36944e+08
21  29  4.69216e+08
21  30  4.73714e+08
21  31  4.65179e+08
21  32  4.28277e+08
21  33  4.11298e+08
21  34  4.35327e+08
21  35  4.66267e+08
21  36  5.11613e+08
21  37  4.77826e+08
21  38  4.37026e+08
21  39  4.81494e+08
21  40  3.80934e+08
21  41  4.55693e+08
21  42  5.99499e+08
21  43  5.18922e+08
21  44  4.8091e+08
21  45  4.05247e+08
21  46  4.84113e+08
21  47  4.0815e+08
21  48  4.15542e+08
21  49  4.51775e+08
21  50  5.07344e+08
22  0  4.96177e+08
22  1  4.66769e+08
22  2  3.47928e+08
22  3  3.65094e+08
22  4  4.30914e+08
22  5  3.10578e+08
22  6  3.19641e+08
22  7  3.32867e+08
22  8  3.45594e+08
22  9  2.99308e+08
22  10  3.08749e+08
22  11  3.12211e+08
22  12  3.08284e+08
22  13  2.87662e+08
22  14  2.68774e+08
22  15  3.51269e+08
22  16  4.04344e+08
22  17  3.39269e+08
22  18  3.56783e+08
22  19  4.34772e+08
22  20  7.14944e+08
22  21  4.99768e+08
22  22  4.70233e+08
22  23  4.09229e+08
22  24  5.00667e+08
22  25  4.69775e+08
22  26  6.46451e+08
22  27  5.05395e+08
