row  column  (images_7.edf Mn-K*images_7.edf Ar-K**2.3)
3  0  3.08605e+07
3  1  1.55871e+07
3  2  2.06669e+07
3  3  0
3  4  0
3  5  4.15373e+06
3  6  4.13731e+06
3  7  1.04968e+07
3  8  6.9292e+06
3  9  1.42423e+06
3  10  1.27324e+07
3  11  1.94278e+06
3  12  0
3  13  1.16576e+07
3  14  1.17506e+07
3  15  3.26717e+06
3  16  1.41552e+07
3  17  3.22697e+06
3  18  5.10463e+06
3  19  7.10657e+06
3  20  1.39441e+07
3  21  245221
3  22  0
3  23  8.28961e+06
3  24  8.22771e+06
3  25  2.88377e+06
3  26  5.85416e+06
3  27  8.51077e+06
3  28  9.21248e+06
3  29  1.04041e+07
3  30  9.13233e+06
3  31  6.77882e+06
3  32  9.01814e+06
3  33  6.11633e+06
3  34  1.00098e+07
3  35  7.23675e+06
3  36  1.89709e+07
3  37  2.8355e+07
3  38  1.5903e+07
3  39  6.63307e+06
3  40  4.93917e+06
3  41  0
3  42  194048
3  43  6.10667e+06
3  44  3.83967e+06
3  45  1.82732e+07
3  46  6.85549e+06
3  47  1.1054e+07
3  48  1.44957e+07
3  49  1.79877e+06
3  50  1.1396e+06
3  51  9.41402e+06
3  52  1.26206e+07
3  53  3.90168e+06
3  54  1.48498e+07
3  55  1.32822e+07
3  56  0
3  57  3.62023e+06
3  58  7.07449e+06
3  59  2.25249e+07
3  60  1.19011e+07
3  61  7.95896e+06
3  62  2.47337e+06
3  63  9.52777e+06
3  64  1.59571e+07
3  65  6.77661e+06
3  66  8.09821e+06
3  67  0
3  68  7.6725e+06
3  69  1.59463e+07
3  70  7.8393e+06
3  71  6.83921e+06
3  72  2.03107e+07
3  73  9.04336e+06
3  74  1.18414e+07
3  75  3.79667e+07
3  76  9.83945e+07
3  77  2.78202e+07
3  78  3.44477e+06
3  79  0
3  80  4.86082e+06
3  81  1.31247e+07
3  82  0
3  83  2.68359e+06
3  84  1.50422e+07
3  85  1.34473e+07
3  86  6.89798e+06
3  87  0
3  88  0
3  89  1.41062e+07
3  90  0
3  91  6.31927e+06
3  92  7.34821e+06
3  93  6.82804e+06
3  94  416779
3  95  1.03647e+07
3  96  0
3  97  1.39569e+07
3  98  1.41758e+07
3  99  1.82628e+07
3  100  0
4  0  2.91968e+07
4  1  0
4  2  2.07486e+07
4  3  1.85192e+07
4  4  9.22097e+06
4  5  1.20378e+07
4  6  7.71521e+06
4  7  5.28843e+06
4  8  7.98792e+06
4  9  1.12692e+07
4  10  1.15726e+07
4  11  1.57044e+07
4  12  2.7313e+06
4  13  3.96313e+06
4  14  3.55927e+06
4  15  0
4  16  6.48887e+06
4  17  1.69343e+07
4  18  7.26751e+06
4  19  1.39668e+07
4  20  3.46021e+06
4  21  1.77638e+07
4  22  1.43855e+07
4  23  1.29949e+07
4  24  1.71626e+07
4  25  1.79406e+06
4  26  5.22557e+06
4  27  7.84701e+06
4  28  3.88624e+06
4  29  3.72091e+06
4  30  0
4  31  5.30417e+06
4  32  1.29332e+07
4  33  5.31621e+06
4  34  7.64216e+06
4  35  1.59086e+07
4  36  9.87433e+06
4  37  5.55039e+06
4  38  8.79276e+06
4  39  6.91155e+06
4  40  3.76634e+06
4  41  6.76684e+06
4  42  6.9223e+06
4  43  1.43199e+07
4  44  1.27792e+06
4  45  6.16283e+06
4  46  2.3038e+07
4  47  2.44361e+06
4  48  4.36021e+06
4  49  2.44505e+07
4  50  1.48064e+07
4  51  1.29885e+07
4  52  1.96697e+07
4  53  8.03939e+06
4  54  0
4  55  3.33936e+06
4  56  1.67559e+07
4  57  1.06167e+07
4  58  0
4  59  1.33854e+07
4  60  1.21336e+07
4  61  6.42794e+06
4  62  4.74177e+06
4  63  2.74862e+06
4  64  8.21883e+06
4  65  9.90829e+06
4  66  1.325e+07
4  67  1.97645e+07
