row  column  (images_7.edf Cu-K*images_7.edf Ar-K**2.3)
8  72  3.8171e+06
8  73  0
8  74  2.91587e+07
8  75  1.44546e+06
8  76  2.92451e+07
8  77  7.68145e+06
8  78  3.99762e+07
8  79  1.33275e+07
8  80  3.84648e+06
8  81  4.29542e+06
8  82  0
8  83  5.83811e+07
8  84  1.8066e+06
8  85  1.24506e+07
8  86  8.15485e+06
8  87  8.80754e+06
8  88  3.82103e+06
8  89  891383
8  90  1.44054e+07
8  91  1.23585e+07
8  92  0
8  93  8.59589e+06
8  94  571852
8  95  1.69708e+07
8  96  14185.7
8  97  0
8  98  4.5408e+06
8  99  6.76808e+06
8  100  599237
9  0  1.56833e+07
9  1  3.76315e+06
9  2  0
9  3  4.41125e+06
9  4  2.31752e+06
9  5  145868
9  6  0
9  7  5.45011e+06
9  8  0
9  9  0
9  10  6.32946e+06
9  11  1.58158e+07
9  12  1.69229e+07
9  13  842266
9  14  0
9  15  8.38868e+06
9  16  543845
9  17  2.25537e+07
9  18  1.58653e+07
9  19  397340
9  20  1.52494e+07
9  21  1.32724e+07
9  22  9.96341e+06
9  23  7.52635e+06
9  24  7.42037e+06
9  25  2.37823e+06
9  26  0
9  27  3.92013e+06
9  28  1.88817e+07
9  29  0
9  30  1.16819e+07
9  31  1.00098e+07
9  32  0
9  33  8.22558e+06
9  34  9.75698e+06
9  35  3.09462e+07
9  36  3.06378e+07
9  37  2.68779e+06
9  38  0
9  39  1.85394e+07
9  40  2.55224e+07
9  41  5.85937e+06
9  42  1.73737e+07
9  43  4.68418e+06
9  44  3.57662e+06
9  45  0
9  46  1.91051e+07
9  47  1.05854e+07
9  48  1.7576e+06
9  49  79942.6
9  50  3.32914e+06
9  51  1.18114e+07
9  52  1.16852e+07
9  53  1.78706e+07
9  54  0
9  55  1.49574e+07
9  56  6.49249e+06
9  57  4.25167e+06
9  58  0
9  59  9.43418e+06
9  60  9.33481e+06
9  61  66784.3
9  62  1.5057e+07
9  63  1.1267e+07
9  64  6.49777e+06
9  65  2.42806e+07
9  66  0
9  67  1.90103e+07
9  68  2.05089e+07
9  69  1.64835e+07
9  70  2.76988e+07
9  71  0
9  72  2.27551e+07
9  73  1.24835e+07
9  74  2.73463e+06
9  75  403539
9  76  2.13614e+07
9  77  1.14163e+07
9  78  1.11988e+07
9  79  0
9  80  0
9  81  9.3641e+06
9  82  3.64952e+07
9  83  1.24598e+07
9  84  1.01101e+07
9  85  1.91544e+06
9  86  0
9  87  0
9  88  2.6483e+06
9  89  0
9  90  5.86335e+06
9  91  0
9  92  1.35113e+07
9  93  1.893e+06
9  94  2.59743e+07
9  95  0
9  96  0
9  97  6.10003e+06
9  98  5.64655e+06
9  99  6.55847e+06
9  100  2.09597e+07
10  0  0
10  1  0
10  2  0
10  3  1.47117e+06
10  4  6.37544e+06
10  5  109909
10  6  0
10  7  0
10  8  2.37384e+07
10  9  3.41108e+06
10  10  4.5647e+06
10  11  4.7604e+06
10  12  1.29183e+07
10  13  1.4445e+07
10  14  2.44303e+07
10  15  0
10  16  2.42385e+07
10  17  7.53061e+06
10  18  9.24762e+06
10  19  1.58694e+07
10  20  2.23555e+07
10  21  481816
10  22  2.42788e+07
10  23  660968
10  24  3.91642e+06
10  25  8.07289e+06
10  26  1.21572e+07
10  27  1.09685e+07
10  28  9.74853e+06
10  29  0
10  30  0
10  31  3.63777e+06
10  32  1.38471e+07
10  33  936537
10  34  1.31939e+07
10  35  2.40485e+07
10  36  2.62564e+07
10  37  1.51133e+06
10  38  9.51464e+06
10  39  1.22322e+07
10  40  4.33588e+06
10  41  7.23401e+06
10  42  7.5052e+06
10  43  1.92968e+07
10  44  0
10  45  2.05125e+07
10  46  465203
10  47  1.62676e+07
10  48  6.19694e+06
10  49  4.05089e+06
10  50  0
10  51  5.95913e+06
10  52  0
10  53  0
10  54  0
10  55  1.47098e+07
10  56  1.09393e+07
10  57  0
10  58  3.1815e+07
10  59  9.92974e+06
10  60  292048
10  61  0
