row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
7  7  7.26366e+06
7  8  5.34569e+06
7  9  2.24173e+07
7  10  3.09555e+07
7  11  2.36018e+07
7  12  3.14619e+07
7  13  4.17339e+07
7  14  5.55765e+07
7  15  5.97206e+07
7  16  5.62832e+07
7  17  6.00691e+07
7  18  6.01943e+07
7  19  5.23377e+07
7  20  8.81818e+07
7  21  7.94813e+07
7  22  7.49008e+07
7  23  7.25085e+07
7  24  8.56666e+07
7  25  1.07983e+08
7  26  8.14592e+07
7  27  6.93421e+07
7  28  8.00166e+07
7  29  9.81157e+07
7  30  4.94822e+07
7  31  8.75996e+07
7  32  9.98989e+07
7  33  8.86735e+07
7  34  1.12944e+08
7  35  9.38248e+07
7  36  1.04911e+08
7  37  8.81415e+07
7  38  1.0473e+08
7  39  1.05006e+08
7  40  1.25177e+08
7  41  8.76436e+07
7  42  8.92085e+07
7  43  7.39292e+07
7  44  7.71711e+07
7  45  7.644e+07
7  46  6.75498e+07
7  47  6.29328e+07
7  48  8.03393e+07
7  49  9.69682e+07
7  50  6.82531e+07
7  51  7.27009e+07
7  52  8.14456e+07
7  53  7.43219e+07
7  54  7.32289e+07
7  55  9.00878e+07
7  56  5.89783e+07
7  57  7.32059e+07
7  58  9.19074e+07
7  59  8.11709e+07
7  60  8.03777e+07
7  61  8.56929e+07
7  62  7.59466e+07
7  63  8.80308e+07
7  64  9.81357e+07
7  65  7.78952e+07
7  66  8.79402e+07
7  67  1.02729e+08
7  68  7.12031e+07
7  69  9.24825e+07
7  70  8.16363e+07
7  71  9.31707e+07
7  72  7.64454e+07
7  73  6.10677e+07
7  74  6.88003e+07
7  75  7.00969e+07
7  76  7.23571e+07
7  77  4.6097e+07
7  78  3.6696e+07
7  79  6.43422e+07
7  80  4.86507e+07
7  81  4.12667e+07
7  82  4.25433e+07
7  83  3.22635e+07
7  84  3.19863e+07
7  85  2.2642e+07
7  86  3.42138e+07
7  87  5.32826e+07
7  88  4.10073e+07
7  89  2.78532e+07
7  90  3.63835e+07
7  91  3.02099e+07
7  92  4.14045e+07
7  93  2.43173e+07
7  94  2.57123e+07
7  95  1.39684e+07
7  96  2.15304e+07
7  97  4.08773e+07
7  98  2.67889e+07
7  99  4.71086e+07
7  100  4.97539e+07
8  0  1.11718e+06
8  1  459389
8  2  0
8  3  2.33556e+06
8  4  3.45698e+06
