row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
7  93  2.26512e+06
7  94  4.16313e+06
7  95  2.99476e+06
7  96  6.00396e+06
7  97  1.02441e+07
7  98  8.01963e+06
7  99  1.18524e+07
7  100  7.19618e+06
8  0  5.18024e+06
8  1  1.30314e+07
8  2  9.85543e+06
8  3  2.11694e+06
8  4  7.94818e+06
8  5  6.32616e+06
8  6  6.57503e+06
8  7  2.42967e+06
8  8  6.2477e+06
8  9  1.02662e+07
8  10  7.94108e+06
8  11  5.40582e+06
8  12  1.02263e+07
8  13  9.90026e+06
8  14  8.45587e+06
8  15  1.70107e+06
8  16  0
8  17  405752
8  18  276454
8  19  3.06203e+06
8  20  1.32763e+06
8  21  1.83033e+06
8  22  1.48928e+06
8  23  1.43307e+06
8  24  0
8  25  2.05509e+06
8  26  0
8  27  0
8  28  632253
8  29  0
8  30  0
8  31  1.35296e+06
8  32  3.51797e+06
8  33  837236
8  34  0
8  35  7.0493e+06
8  36  1.80485e+06
8  37  0
8  38  8513.95
8  39  1.43314e+06
8  40  3.38301e+06
8  41  4.54553e+06
8  42  3.68035e+06
8  43  690615
8  44  628792
8  45  0
8  46  1.06243e+06
8  47  3.80597e+06
8  48  4.64324e+06
8  49  0
8  50  2.97964e+06
8  51  4.46084e+06
8  52  2.9944e+06
8  53  1.00312e+06
8  54  5.15615e+06
8  55  998935
8  56  4.19716e+06
8  57  0
8  58  4.62683e+06
8  59  1.86613e+06
8  60  8.51924e+06
8  61  762285
8  62  1.64796e+06
8  63  2.94854e+06
8  64  2.08311e+06
8  65  219231
8  66  0
8  67  8.0465e+06
8  68  1.78389e+06
8  69  2.92551e+06
8  70  1.81605e+06
8  71  7.38302e+06
8  72  4.09074e+06
8  73  1.53125e+06
8  74  8.05241e+06
8  75  3.21621e+06
8  76  1.26236e+07
8  77  9.67328e+06
8  78  5.96462e+06
8  79  1.55427e+06
8  80  4.05374e+06
8  81  2.08686e+06
8  82  9.36121e+06
8  83  2.60092e+06
8  84  7.84747e+06
8  85  7.47925e+06
8  86  1.34311e+06
8  87  6.0036e+06
8  88  4.05894e+06
8  89  3.55485e+06
8  90  2.57115e+06
8  91  576904
8  92  3.53452e+06
8  93  1.42729e+06
8  94  4.97021e+06
8  95  4.60395e+06
8  96  6.60743e+06
8  97  4.9824e+06
8  98  9.61772e+06
8  99  8.12212e+06
8  100  1.23192e+07
9  0  8.47126e+06
9  1  3.5062e+06
9  2  1.56746e+07
9  3  1.15315e+07
9  4  8.794e+06
9  5  8.82703e+06
9  6  6.46608e+06
9  7  4.39527e+06
9  8  8.56477e+06
9  9  7.36042e+06
9  10  9.67579e+06
9  11  7.24351e+06
9  12  1.40286e+07
9  13  9.86297e+06
9  14  6.55989e+06
9  15  1.34306e+06
9  16  2.97257e+06
9  17  250301
9  18  0
9  19  0
9  20  1.30485e+06
9  21  521199
9  22  0
9  23  1.78902e+06
9  24  0
9  25  0
9  26  0
9  27  2.5256e+06
9  28  759718
9  29  1.40903e+06
9  30  2.47966e+06
9  31  1.68815e+06
9  32  0
