row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
13  35  7.68912e+06
13  36  1.33474e+07
13  37  4.46046e+06
13  38  1.1319e+07
13  39  6.04306e+06
13  40  1.34793e+07
13  41  7.34877e+06
13  42  1.46215e+07
13  43  7.65716e+06
13  44  1.32395e+07
13  45  9.51417e+06
13  46  1.27336e+07
13  47  8.99941e+06
13  48  1.29791e+07
13  49  1.45149e+07
13  50  1.18023e+07
14  0  6.58197e+06
14  1  7.88887e+06
14  2  1.67044e+06
14  3  8.38655e+06
14  4  7.93693e+06
14  5  5.83329e+06
14  6  7.02136e+06
14  7  8.0515e+06
14  8  6.71503e+06
14  9  1.16774e+07
14  10  1.41398e+07
14  11  7.87122e+06
14  12  8.80378e+06
14  13  1.13569e+07
14  14  1.19117e+07
14  15  4.93001e+06
14  16  1.51157e+07
14  17  9.09286e+06
14  18  1.44356e+07
14  19  1.49682e+07
14  20  8.67605e+06
14  21  1.45297e+07
14  22  9.55905e+06
14  23  1.19902e+07
14  24  7.6549e+06
14  25  8.19035e+06
14  26  1.11118e+07
14  27  8.30692e+06
14  28  7.63671e+06
14  29  7.49223e+06
14  30  1.38696e+07
14  31  9.6683e+06
14  32  1.20363e+07
14  33  9.10378e+06
14  34  5.15392e+06
14  35  1.21257e+07
14  36  1.14541e+07
14  37  7.17244e+06
14  38  1.12477e+07
14  39  8.84865e+06
14  40  2.64413e+06
14  41  9.39259e+06
14  42  1.20558e+07
14  43  8.59361e+06
14  44  7.16205e+06
14  45  1.30002e+07
14  46  1.23726e+07
14  47  8.56977e+06
14  48  1.0455e+07
14  49  1.34021e+07
14  50  1.11978e+07
15  0  8.60976e+06
15  1  6.64629e+06
15  2  1.07498e+07
15  3  1.09383e+07
15  4  3.81624e+06
15  5  6.0531e+06
15  6  1.22351e+07
15  7  8.94173e+06
15  8  9.36303e+06
15  9  7.80556e+06
15  10  8.1263e+06
15  11  3.91882e+06
15  12  9.85384e+06
15  13  1.22651e+07
