row  column  (images_8.edf Ca_K*images_8.edf Ar_K**2.3)
17  32  1.65489e+09
17  33  1.62384e+09
17  34  1.60813e+09
17  35  1.39816e+09
17  36  1.29984e+09
17  37  1.08165e+09
17  38  1.48655e+09
17  39  1.47024e+09
17  40  1.2473e+09
17  41  1.44974e+09
17  42  1.34037e+09
17  43  1.3787e+09
17  44  1.38872e+09
17  45  1.45526e+09
17  46  1.41809e+09
17  47  1.06204e+09
17  48  8.98189e+08
17  49  8.67049e+08
17  50  8.98824e+08
18  0  1.45217e+09
18  1  1.53969e+09
18  2  1.23791e+09
18  3  1.28397e+09
18  4  1.48395e+09
18  5  1.43419e+09
18  6  1.36047e+09
18  7  1.11234e+09
18  8  1.22646e+09
18  9  1.46005e+09
18  10  1.4099e+09
18  11  1.43626e+09
18  12  1.45366e+09
18  13  1.64745e+09
18  14  1.48609e+09
18  15  1.59012e+09
18  16  1.63839e+09
18  17  1.51562e+09
18  18  1.79944e+09
18  19  1.77211e+09
18  20  1.28425e+09
18  21  9.6901e+08
18  22  1.13117e+09
18  23  1.23875e+09
18  24  1.21796e+09
18  25  1.49462e+09
18  26  1.56539e+09
18  27  1.65754e+09
18  28  1.67351e+09
18  29  1.99909e+09
18  30  1.81386e+09
18  31  1.64514e+09
18  32  1.73568e+09
18  33  1.68393e+09
18  34  1.69837e+09
18  35  1.53245e+09
18  36  1.28781e+09
18  37  1.18078e+09
18  38  1.53112e+09
18  39  1.3017e+09
18  40  1.14855e+09
18  41  1.31842e+09
18  42  1.3261e+09
18  43  1.31188e+09
18  44  1.3088e+09
18  45  1.40492e+09
18  46  1.3457e+09
18  47  1.20828e+09
18  48  1.07266e+09
18  49  1.12484e+09
18  50  1.07622e+09
19  0  1.59032e+09
19  1  1.40509e+09
19  2  1.39852e+09
19  3  1.33059e+09
19  4  1.45903e+09
19  5  1.30802e+09
19  6  1.33677e+09
19  7  1.17767e+09
19  8  1.2087e+09
19  9  1.32369e+09
19  10  1.5577e+09
19  11  1.47436e+09
19  12  1.62846e+09
19  13  1.70809e+09
19  14  1.65306e+09
19  15  1.57731e+09
19  16  1.52592e+09
19  17  1.72862e+09
19  18  1.93303e+09
19  19  1.868e+09
19  20  1.40673e+09
19  21  9.712e+08
19  22  1.00973e+09
19  23  1.29385e+09
19  24  1.29709e+09
19  25  1.51304e+09
19  26  1.60519e+09
19  27  1.68683e+09
19  28  1.85084e+09
19  29  1.8349e+09
19  30  1.67646e+09
19  31  1.6894e+09
19  32  1.57188e+09
19  33  1.64299e+09
19  34  1.64776e+09
19  35  1.48111e+09
19  36  1.17425e+09
19  37  1.20346e+09
19  38  1.65865e+09
19  39  1.37384e+09
19  40  1.11676e+09
19  41  1.225e+09
19  42  1.33412e+09
19  43  1.35713e+09
19  44  1.23092e+09
19  45  1.41767e+09
19  46  1.29146e+09
19  47  1.26684e+09
19  48  1.13349e+09
19  49  1.17377e+09
19  50  1.27361e+09
20  0  1.53613e+09
20  1  1.39222e+09
20  2  1.48026e+09
20  3  1.24501e+09
20  4  1.48179e+09
20  5  1.43537e+09
20  6  1.55901e+09
20  7  1.19135e+09
20  8  1.33054e+09
20  9  1.43943e+09
20  10  1.53702e+09
20  11  1.49266e+09
20  12  1.53075e+09
20  13  1.5283e+09
20  14  1.54624e+09
20  15  1.75087e+09
20  16  1.78227e+09
20  17  1.65167e+09
20  18  1.90629e+09
20  19  1.76672e+09
20  20  1.49387e+09
20  21  1.00822e+09
20  22  1.03958e+09
20  23  1.18517e+09
20  24  1.22535e+09
20  25  1.41401e+09
20  26  1.62937e+09
20  27  1.75195e+09
20  28  1.74488e+09
20  29  1.81111e+09
20  30  1.87882e+09
20  31  1.6828e+09
20  32  1.84062e+09
20  33  1.65105e+09
20  34  1.66483e+09
20  35  1.62625e+09
20  36  1.36643e+09
20  37  1.1996e+09
20  38  1.97593e+09
20  39  1.58884e+09
20  40  1.4281e+09
20  41  1.2763e+09
20  42  1.26329e+09
20  43  1.50529e+09
20  44  1.37088e+09
20  45  1.39417e+09
20  46  1.36643e+09
20  47  1.42873e+09
20  48  1.43939e+09
20  49  1.29712e+09
20  50  1.31725e+09
21  0  1.657e+09
21  1  1.40426e+09
21  2  1.42347e+09
21  3  1.25162e+09
21  4  1.43492e+09
21  5  1.54526e+09
21  6  1.55476e+09
21  7  1.46317e+09
21  8  1.28585e+09
21  9  1.38819e+09
21  10  1.63104e+09
21  11  1.71241e+09
21  12  1.73273e+09
21  13  1.77426e+09
21  14  1.66361e+09
21  15  1.74816e+09
21  16  1.80183e+09
21  17  1.99411e+09
21  18  1.83635e+09
21  19  1.82055e+09
21  20  1.39826e+09
21  21  1.10986e+09
21  22  1.23156e+09
21  23  1.24973e+09
21  24  1.33091e+09
21  25  1.42925e+09
21  26  1.6265e+09
21  27  1.59511e+09
21  28  1.68692e+09
21  29  1.72269e+09
21  30  1.6474e+09
21  31  1.41539e+09
21  32  1.46136e+09
21  33  1.62273e+09
21  34  1.71844e+09
21  35  1.50289e+09
21  36  1.43007e+09
21  37  1.43043e+09
21  38  1.78333e+09
21  39  1.48768e+09
21  40  1.42332e+09
21  41  1.38124e+09
21  42  1.41962e+09
21  43  1.35689e+09
21  44  1.4311e+09
21  45  1.40283e+09
21  46  1.56037e+09
21  47  1.5497e+09
21  48  1.44999e+09
21  49  1.44233e+09
21  50  1.55222e+09
22  0  1.48977e+09
22  1  1.37454e+09
22  2  1.52727e+09
22  3  1.2646e+09
22  4  1.39226e+09
22  5  1.54771e+09
22  6  1.65463e+09
22  7  1.41228e+09
22  8  1.42915e+09
22  9  1.41229e+09
22  10  1.67519e+09
22  11  1.60458e+09
22  12  1.77635e+09
22  13  1.92806e+09
22  14  1.78871e+09
22  15  1.74935e+09
22  16  1.86843e+09
22  17  1.71184e+09
22  18  1.90184e+09
22  19  1.80949e+09
22  20  1.63712e+09
22  21  1.05052e+09
22  22  1.09278e+09
22  23  1.14485e+09
22  24  1.21221e+09
22  25  1.50624e+09
22  26  1.31059e+09
22  27  1.43107e+09
22  28  1.71424e+09
22  29  1.5808e+09
22  30  1.57335e+09
