row  column  (images_8.edf Fe_K*images_8.edf Ar_K**2.3)
20  37  1.0406e+08
20  38  1.92395e+08
20  39  1.52251e+08
20  40  1.22945e+08
20  41  8.93008e+07
20  42  8.02343e+07
20  43  1.16093e+08
20  44  1.05836e+08
20  45  9.85373e+07
20  46  1.08187e+08
20  47  1.05621e+08
20  48  1.08853e+08
20  49  9.93004e+07
20  50  9.44993e+07
21  0  8.15551e+07
21  1  6.43157e+07
21  2  6.74922e+07
21  3  5.35055e+07
21  4  7.21062e+07
21  5  6.47261e+07
21  6  7.32443e+07
21  7  7.63305e+07
21  8  7.00227e+07
21  9  8.27491e+07
21  10  1.00312e+08
21  11  1.40765e+08
21  12  1.7302e+08
21  13  1.54917e+08
21  14  1.1938e+08
21  15  1.19454e+08
21  16  1.3627e+08
21  17  1.68063e+08
21  18  1.6553e+08
21  19  2.02986e+08
21  20  1.37949e+08
21  21  9.57211e+07
21  22  9.10929e+07
21  23  9.0155e+07
21  24  1.12451e+08
21  25  1.16227e+08
21  26  1.2255e+08
21  27  1.41242e+08
21  28  1.71424e+08
21  29  1.65172e+08
21  30  1.10256e+08
21  31  9.48853e+07
21  32  1.03864e+08
21  33  1.16633e+08
21  34  1.42216e+08
21  35  1.0015e+08
21  36  1.37626e+08
21  37  1.21476e+08
21  38  1.70377e+08
21  39  1.23235e+08
21  40  1.17782e+08
21  41  9.79266e+07
21  42  1.09381e+08
21  43  1.01163e+08
21  44  1.14335e+08
21  45  1.29948e+08
21  46  1.38306e+08
21  47  1.31973e+08
21  48  1.19015e+08
21  49  9.01626e+07
21  50  1.3342e+08
22  0  7.40759e+07
22  1  7.01649e+07
22  2  6.88922e+07
22  3  5.90246e+07
22  4  6.46555e+07
22  5  8.10765e+07
22  6  6.67943e+07
22  7  8.25877e+07
22  8  7.33372e+07
22  9  7.81075e+07
22  10  1.08054e+08
22  11  1.41832e+08
22  12  1.69813e+08
22  13  2.16575e+08
22  14  1.45588e+08
22  15  1.38745e+08
22  16  1.47098e+08
22  17  1.50893e+08
22  18  1.83632e+08
22  19  1.99828e+08
22  20  2.11819e+08
22  21  9.00573e+07
22  22  7.46357e+07
22  23  7.16081e+07
22  24  9.75756e+07
22  25  1.0802e+08
22  26  1.00532e+08
22  27  1.22541e+08
22  28  1.5605e+08
22  29  1.38419e+08
22  30  1.21806e+08
