row  column  (images_8.edf P_K*images_8.edf Ar_K**2.3)
24  49  1.5376e+07
24  50  1.19976e+07
25  0  1.28678e+07
25  1  0
25  2  7.46542e+06
25  3  0
25  4  6.57118e+06
25  5  1.02495e+07
25  6  1.03268e+07
25  7  7.89156e+06
25  8  9.464e+06
25  9  1.48473e+07
25  10  1.25761e+07
25  11  1.78724e+07
25  12  1.84457e+07
25  13  1.5573e+07
25  14  1.24008e+07
25  15  1.91815e+07
25  16  1.69125e+07
25  17  1.37755e+07
25  18  2.65219e+07
25  19  0
25  20  0
25  21  8.85196e+06
25  22  0
25  23  8.58455e+06
25  24  1.2371e+07
25  25  1.40084e+07
25  26  1.24914e+07
25  27  1.60888e+07
25  28  1.45259e+07
25  29  1.43678e+07
25  30  1.43957e+07
25  31  1.16075e+07
25  32  1.48086e+07
25  33  1.32308e+07
25  34  1.14628e+07
25  35  0
25  36  1.53276e+07
25  37  1.27505e+07
25  38  1.36128e+07
25  39  0
25  40  1.5462e+07
25  41  9.64926e+06
25  42  1.31099e+07
25  43  1.35113e+07
25  44  1.31444e+07
25  45  0
25  46  0
25  47  0
25  48  0
25  49  0
25  50  1.13679e+07
26  0  1.50505e+07
26  1  1.30119e+07
26  2  8.54887e+06
26  3  6.06591e+06
26  4  1.32871e+07
26  5  8.55305e+06
26  6  1.29678e+07
26  7  8.38578e+06
26  8  9.31214e+06
26  9  1.55321e+07
26  10  1.77744e+07
26  11  1.96119e+07
26  12  1.80161e+07
26  13  1.5071e+07
26  14  2.09965e+07
26  15  1.30014e+07
26  16  1.98022e+07
26  17  9.60991e+06
26  18  1.76668e+07
26  19  9.29283e+06
26  20  1.55718e+07
26  21  9.56752e+06
26  22  2.13632e+07
26  23  2.01334e+07
26  24  1.91791e+07
26  25  1.88001e+07
26  26  1.76456e+07
26  27  1.91033e+07
26  28  2.1589e+07
26  29  2.22793e+07
26  30  1.95207e+07
26  31  1.33525e+07
26  32  1.83878e+07
26  33  1.24967e+07
26  34  1.40588e+07
26  35  0
26  36  1.3213e+07
26  37  1.52364e+07
26  38  1.78204e+07
26  39  1.07591e+07
26  40  1.25532e+07
26  41  1.039e+07
26  42  1.29403e+07
26  43  1.48312e+07
26  44  1.15039e+07
26  45  1.48762e+07
26  46  1.24993e+07
26  47  1.33115e+07
26  48  7.57033e+06
26  49  0
26  50  9.79239e+06
27  0  0
27  1  7.12652e+06
27  2  0
27  3  0
27  4  1.73337e+07
27  5  0
27  6  8.0355e+06
27  7  1.05171e+07
27  8  1.81001e+07
27  9  9.97469e+06
27  10  2.13728e+07
27  11  1.69347e+07
27  12  1.49397e+07
27  13  1.6378e+07
27  14  1.67229e+07
27  15  1.50182e+07
27  16  1.65337e+07
27  17  1.47224e+07
27  18  1.5305e+07
27  19  2.39591e+07
27  20  1.47693e+07
27  21  2.13495e+07
27  22  1.67097e+07
27  23  2.2464e+07
27  24  1.81814e+07
27  25  1.69387e+07
27  26  1.64225e+07
27  27  1.44797e+07
27  28  1.81218e+07
27  29  1.89704e+07
27  30  2.00194e+07
27  31  1.72869e+07
27  32  1.43764e+07
27  33  1.5835e+07
27  34  1.3301e+07
27  35  1.48601e+07
27  36  1.96092e+07
27  37  1.4537e+07
27  38  2.24174e+07
27  39  1.1784e+07
27  40  1.43235e+07
27  41  8.23117e+06
27  42  1.79914e+07
27  43  0
27  44  1.31029e+07
27  45  9.79206e+06
27  46  1.50262e+07
27  47  1.08565e+07
27  48  1.10911e+07
27  49  9.46789e+06
27  50  1.11338e+07
28  0  8.91307e+06
28  1  1.6931e+07
28  2  1.48209e+07
28  3  1.06808e+07
28  4  9.87685e+06
28  5  1.2064e+07
28  6  1.28984e+07
28  7  1.08213e+07
28  8  1.32082e+07
28  9  1.0368e+07
28  10  1.36716e+07
28  11  1.95357e+07
28  12  2.13536e+07
28  13  1.94485e+07
28  14  1.23474e+07
28  15  1.37841e+07
28  16  1.30443e+07
28  17  8.82324e+06
28  18  1.25953e+07
28  19  1.39215e+07
28  20  2.05399e+07
28  21  1.93773e+07
28  22  2.71036e+07
28  23  2.20532e+07
28  24  1.62062e+07
28  25  2.3534e+07
28  26  2.03554e+07
28  27  1.52161e+07
28  28  1.8805e+07
28  29  1.33749e+07
28  30  1.81647e+07
28  31  1.38903e+07
28  32  1.60258e+07
28  33  1.74075e+07
28  34  1.18641e+07
28  35  1.00247e+07
28  36  1.4527e+07
28  37  2.06389e+07
28  38  1.54384e+07
28  39  1.69393e+07
28  40  1.11443e+07
28  41  0
28  42  2.07899e+07
28  43  1.19673e+07
28  44  1.89786e+07
28  45  0
28  46  1.56418e+07
28  47  7.93101e+06
28  48  1.1555e+07
28  49  1.06237e+07
28  50  1.10816e+07
29  0  8.02402e+06
29  1  1.53747e+07
29  2  0
29  3  7.94389e+06
29  4  1.70628e+07
29  5  8.45733e+06
29  6  1.46515e+07
29  7  1.25196e+07
29  8  1.41247e+07
29  9  1.36712e+07
29  10  8.21814e+06
29  11  1.56088e+07
29  12  1.63774e+07
29  13  9.65107e+06
29  14  1.5805e+07
29  15  1.47617e+07
29  16  1.59474e+07
29  17  8.54997e+06
29  18  8.52712e+06
29  19  1.54078e+07
29  20  2.64256e+07
29  21  2.45979e+07
29  22  2.18216e+07
29  23  2.63626e+07
29  24  1.86476e+07
29  25  1.61977e+07
29  26  1.87059e+07
29  27  1.77536e+07
29  28  1.71245e+07
29  29  1.03425e+07
29  30  1.89759e+07
29  31  1.49835e+07
29  32  1.0806e+07
29  33  2.0303e+07
29  34  1.48694e+07
29  35  1.4609e+07
29  36  1.94855e+07
29  37  1.95696e+07
29  38  1.12285e+07
29  39  1.37e+07
29  40  1.6778e+07
29  41  1.42489e+07
29  42  1.55934e+07
29  43  1.17056e+07
29  44  1.44888e+07
29  45  2.20193e+07
29  46  1.91779e+07
29  47  1.01882e+07
29  48  0
29  49  1.0875e+07
29  50  0
30  0  7.21747e+06
30  1  8.97552e+06
30  2  0
30  3  1.04548e+07
30  4  1.07844e+07
30  5  1.30811e+07
30  6  9.56092e+06
30  7  1.20839e+07
30  8  9.00488e+06
30  9  1.3278e+07
30  10  1.64718e+07
30  11  1.88282e+07
30  12  1.64383e+07
30  13  9.22231e+06
30  14  1.78762e+07
30  15  1.92291e+07
30  16  1.92454e+07
30  17  1.63916e+07
