row  column  (images_8.edf S_K*images_8.edf Ar_K**2.3)
21  11  6.78096e+07
21  12  7.21799e+07
21  13  7.73892e+07
21  14  6.22236e+07
21  15  4.75854e+07
21  16  5.37653e+07
21  17  4.58094e+07
21  18  3.68253e+07
21  19  3.19337e+07
21  20  1.57267e+07
21  21  1.31385e+07
21  22  2.88219e+07
21  23  2.92267e+07
21  24  2.52373e+07
21  25  2.45345e+07
21  26  3.40328e+07
21  27  1.91689e+07
21  28  3.16861e+07
21  29  3.2416e+07
21  30  4.14913e+07
21  31  4.12206e+07
21  32  3.78575e+07
21  33  3.00873e+07
21  34  3.65004e+07
21  35  3.55487e+07
21  36  1.9142e+07
21  37  2.10322e+07
21  38  3.4363e+07
21  39  2.06456e+07
21  40  2.14699e+07
21  41  2.23876e+07
21  42  2.45185e+07
21  43  1.88708e+07
21  44  0
21  45  1.59572e+07
21  46  1.59739e+07
21  47  1.14792e+07
21  48  1.60453e+07
21  49  1.83149e+07
21  50  2.26635e+07
22  0  5.4796e+07
22  1  5.98255e+07
22  2  5.73223e+07
22  3  5.38103e+07
22  4  6.03559e+07
22  5  6.15685e+07
22  6  6.38508e+07
22  7  6.28686e+07
22  8  5.5758e+07
22  9  5.32697e+07
22  10  6.73691e+07
22  11  6.58593e+07
22  12  6.96071e+07
22  13  6.91197e+07
22  14  5.67913e+07
22  15  5.27174e+07
22  16  4.44513e+07
22  17  3.59028e+07
22  18  2.91171e+07
22  19  3.09435e+07
22  20  1.55769e+07
22  21  8.07734e+06
22  22  1.94728e+07
22  23  2.9759e+07
22  24  2.3037e+07
22  25  2.96972e+07
22  26  1.23656e+07
22  27  2.1296e+07
22  28  3.9493e+07
22  29  2.30313e+07
22  30  3.59561e+07
22  31  5.14874e+07
22  32  3.71798e+07
22  33  2.91503e+07
22  34  2.70933e+07
22  35  2.24946e+07
22  36  2.19539e+07
22  37  2.58874e+07
22  38  3.25433e+07
22  39  3.32953e+07
22  40  1.21225e+07
22  41  1.63604e+07
22  42  2.81464e+07
22  43  3.01653e+07
22  44  1.84111e+07
22  45  2.44093e+07
22  46  2.64852e+07
22  47  1.91679e+07
22  48  1.51996e+07
22  49  2.68215e+07
22  50  2.93003e+07
23  0  4.64773e+07
23  1  5.80575e+07
23  2  6.3549e+07
23  3  3.32647e+07
23  4  6.77893e+07
23  5  8.17816e+07
23  6  6.24774e+07
23  7  7.84879e+07
23  8  6.96888e+07
23  9  5.47714e+07
23  10  5.60961e+07
23  11  8.7916e+07
23  12  7.20434e+07
23  13  6.89074e+07
23  14  5.22144e+07
23  15  5.59578e+07
23  16  3.57153e+07
23  17  4.01261e+07
23  18  2.97122e+07
23  19  3.08796e+07
23  20  2.242e+07
23  21  1.10956e+07
23  22  2.00937e+07
23  23  3.52828e+07
23  24  2.50334e+07
23  25  2.43642e+07
23  26  2.17121e+07
23  27  2.07283e+07
23  28  3.01891e+07
23  29  3.2936e+07
23  30  3.18916e+07
23  31  3.56723e+07
23  32  4.33787e+07
23  33  2.74666e+07
23  34  3.05178e+07
23  35  2.55798e+07
23  36  3.43059e+07
23  37  2.72995e+07
23  38  4.68186e+07
23  39  2.83476e+07
23  40  2.25125e+07
23  41  2.81022e+07
23  42  3.40323e+07
23  43  2.33838e+07
23  44  2.65279e+07
23  45  1.50568e+07
23  46  2.21488e+07
23  47  2.5937e+07
23  48  3.37873e+07
23  49  2.20496e+07
23  50  2.99908e+07
24  0  6.25428e+07
24  1  6.55228e+07
24  2  5.0484e+07
24  3  5.3783e+07
24  4  6.66118e+07
24  5  7.51821e+07
24  6  7.48678e+07
24  7  5.97325e+07
24  8  6.15238e+07
24  9  6.27169e+07
24  10  5.45995e+07
24  11  6.47899e+07
24  12  6.76046e+07
24  13  5.49769e+07
24  14  7.04202e+07
24  15  5.81804e+07
24  16  4.56052e+07
24  17  3.74218e+07
24  18  3.41424e+07
24  19  2.86055e+07
24  20  2.33067e+07
24  21  3.13209e+07
24  22  2.09939e+07
24  23  3.39609e+07
24  24  2.59035e+07
24  25  3.03691e+07
24  26  3.15195e+07
24  27  2.10084e+07
24  28  3.25743e+07
24  29  3.09126e+07
24  30  3.65205e+07
24  31  4.46066e+07
24  32  4.14227e+07
24  33  3.85228e+07
24  34  2.94983e+07
24  35  2.25925e+07
24  36  1.496e+07
24  37  2.46043e+07
24  38  4.45046e+07
24  39  4.07977e+07
24  40  3.21918e+07
24  41  2.625e+07
24  42  3.73537e+07
24  43  3.6003e+07
24  44  2.66943e+07
