row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
18  47  0
18  48  0
18  49  0
18  50  0
19  0  0
19  1  0
19  2  0
19  3  0
19  4  0
19  5  0
19  6  0
19  7  0
19  8  0
19  9  4.87992e+07
19  10  4.7037e+07
19  11  0
19  12  0
19  13  0
19  14  0
19  15  0
19  16  0
19  17  2.66229e+07
19  18  0
19  19  0
19  20  6.83101e+07
19  21  2.40085e+07
19  22  3.46032e+07
19  23  3.9532e+07
19  24  4.22456e+07
19  25  5.55356e+07
19  26  5.06995e+07
19  27  0
19  28  0
19  29  0
19  30  2.53803e+07
19  31  0
19  32  0
19  33  2.56806e+07
19  34  0
19  35  4.74485e+07
19  36  5.03855e+07
19  37  6.85581e+07
19  38  8.07459e+07
19  39  8.42658e+07
19  40  1.01773e+08
19  41  4.1555e+07
19  42  4.1737e+07
19  43  4.54295e+07
19  44  7.22178e+07
19  45  2.68593e+07
19  46  5.25237e+07
19  47  0
19  48  0
19  49  0
19  50  0
20  0  0
20  1  0
20  2  0
20  3  0
20  4  0
20  5  0
20  6  0
20  7  0
20  8  0
20  9  2.09286e+07
20  10  2.04138e+07
20  11  0
20  12  0
20  13  0
20  14  0
20  15  0
20  16  0
20  17  2.01158e+07
20  18  0
20  19  5.10837e+07
20  20  2.34372e+07
20  21  3.95284e+07
20  22  4.73053e+07
20  23  3.45721e+07
20  24  2.83507e+07
20  25  5.58652e+07
20  26  5.84375e+07
20  27  5.06741e+07
20  28  2.7651e+07
20  29  0
20  30  0
20  31  0
20  32  0
20  33  4.40108e+07
20  34  2.91611e+07
20  35  3.92308e+07
20  36  8.00433e+07
20  37  4.59926e+07
20  38  5.7577e+07
20  39  7.05188e+07
20  40  9.59638e+07
20  41  6.69858e+07
20  42  8.08802e+06
20  43  6.69317e+07
20  44  3.42358e+07
20  45  2.51123e+07
20  46  0
20  47  3.23028e+07
20  48  0
20  49  0
20  50  0
21  0  0
21  1  0
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  0
21  8  0
21  9  3.25399e+07
21  10  0
21  11  0
21  12  0
21  13  0
21  14  0
21  15  0
21  16  4.66963e+07
21  17  2.2797e+07
21  18  2.76582e+07
21  19  2.73641e+07
21  20  4.2303e+07
21  21  2.52312e+07
21  22  2.34941e+07
21  23  5.24969e+07
21  24  0
21  25  3.94869e+07
21  26  5.0479e+07
21  27  4.37609e+07
21  28  3.21836e+07
21  29  0
21  30  0
21  31  0
21  32  2.22286e+07
21  33  2.65805e+07
21  34  3.39729e+07
21  35  4.51618e+07
21  36  6.52307e+07
21  37  5.46629e+07
21  38  9.04896e+07
21  39  6.78525e+07
21  40  8.52097e+07
21  41  2.64477e+07
21  42  1.80756e+07
21  43  5.58784e+07
21  44  5.16089e+07
21  45  4.38193e+07
21  46  0
21  47  0
21  48  0
21  49  0
21  50  0
22  0  0
22  1  0
22  2  0
22  3  0
22  4  0
22  5  0
22  6  0
22  7  0
22  8  0
22  9  4.46077e+07
22  10  2.26765e+07
22  11  0
22  12  0
22  13  0
22  14  0
22  15  0
22  16  2.23064e+07
22  17  2.20326e+07
22  18  0
22  19  3.57137e+07
22  20  3.19854e+07
22  21  5.23224e+06
22  22  3.12835e+07
22  23  4.15158e+07
22  24  5.50488e+07
22  25  4.52829e+07
