row  column  (images_12_23nov.edf P_K*images_12_23nov.edf Ar_K**2.3)
12  5  6.39174e+07
12  6  0
12  7  0
12  8  3.95127e+07
12  9  6.07961e+07
12  10  1.10098e+08
12  11  0
12  12  0
12  13  0
12  14  0
12  15  0
12  16  0
12  17  0
12  18  0
12  19  0
12  20  0
12  21  0
12  22  0
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  0
12  29  0
12  30  0
12  31  3.20714e+07
12  32  0
12  33  0
12  34  0
12  35  6.43176e+07
12  36  4.03361e+07
12  37  4.8285e+07
12  38  4.45235e+07
12  39  1.45393e+07
12  40  1.18899e+08
12  41  9.89759e+07
12  42  1.73963e+08
12  43  4.55193e+07
12  44  1.02565e+08
12  45  9.13147e+07
12  46  1.51827e+08
