row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
12  18  1.55848e+08
12  19  2.43796e+08
12  20  2.33547e+08
12  21  2.6488e+08
12  22  4.20433e+08
12  23  5.48497e+08
12  24  5.97141e+08
12  25  3.73035e+08
12  26  3.27032e+08
12  27  2.1309e+08
12  28  1.8055e+08
12  29  4.31764e+08
12  30  5.15405e+08
12  31  5.0272e+08
12  32  2.97541e+08
12  33  2.83592e+08
12  34  2.85545e+08
12  35  3.98415e+08
12  36  5.15236e+08
12  37  2.91496e+08
12  38  2.27289e+08
12  39  3.99037e+08
12  40  5.1771e+08
12  41  4.94009e+08
12  42  6.00402e+08
12  43  6.60277e+08
12  44  6.18706e+08
12  45  4.39921e+08
12  46  6.24147e+08
12  47  6.197e+08
12  48  5.90231e+08
12  49  6.63648e+08
12  50  5.39204e+08
13  0  0
13  1  0
13  2  4.43681e+07
13  3  1.11417e+08
13  4  4.3049e+08
13  5  5.42889e+08
13  6  4.13165e+08
13  7  2.51096e+08
13  8  3.01733e+08
13  9  6.05239e+08
13  10  6.23645e+08
13  11  3.20191e+08
13  12  2.4245e+08
13  13  2.5448e+08
13  14  3.34891e+08
13  15  2.71918e+08
13  16  2.57424e+08
13  17  3.01165e+08
13  18  3.16326e+08
13  19  2.86212e+08
13  20  2.32976e+08
13  21  2.60773e+08
13  22  3.72065e+08
13  23  5.88739e+08
13  24  6.02412e+08
13  25  4.50068e+08
13  26  2.62304e+08
13  27  2.72272e+08
13  28  2.23231e+08
13  29  3.86569e+08
13  30  5.05504e+08
13  31  5.07121e+08
13  32  4.47925e+08
13  33  3.21134e+08
13  34  3.43634e+08
13  35  4.38324e+08
13  36  5.12974e+08
13  37  2.77329e+08
13  38  4.23785e+08
13  39  6.69068e+08
13  40  6.72089e+08
13  41  4.99195e+08
13  42  5.99296e+08
13  43  6.08673e+08
13  44  5.39861e+08
13  45  6.13389e+08
13  46  5.54439e+08
13  47  4.40848e+08
13  48  4.75798e+08
13  49  7.85875e+08
13  50  7.05132e+08
14  0  8.63404e+07
14  1  0
14  2  3.34812e+07
