row  column  (images_6a.edf K-K*images_6a.edf Ar-K**2.3)
9  66  6.54046e+06
9  67  1.08756e+07
9  68  1.69657e+07
9  69  1.27047e+07
9  70  1.09152e+07
9  71  1.70427e+07
9  72  1.33835e+07
9  73  3.95181e+07
9  74  3.14985e+07
9  75  2.43693e+07
9  76  1.93673e+07
9  77  6.47946e+06
9  78  2.54282e+07
9  79  2.0639e+07
9  80  1.3814e+07
9  81  2.86708e+07
9  82  6.49609e+06
9  83  1.17229e+07
9  84  3.55138e+06
9  85  1.02525e+07
9  86  1.99593e+07
9  87  1.48381e+07
9  88  4.82926e+06
9  89  1.70376e+07
9  90  1.69155e+07
9  91  1.50793e+07
9  92  9.32221e+06
9  93  1.39917e+07
9  94  1.21642e+07
9  95  3.18182e+06
9  96  1.43002e+07
9  97  0
9  98  1.93484e+07
9  99  1.42896e+07
9  100  1.2137e+07
10  0  5.74867e+06
10  1  0
10  2  1.29994e+07
10  3  1.2814e+07
10  4  1.41392e+07
10  5  0
10  6  1.25708e+07
10  7  0
10  8  6.88506e+06
10  9  1.24393e+07
10  10  2.04197e+06
10  11  4.44573e+06
10  12  1.19844e+07
10  13  433738
10  14  4.72416e+06
10  15  1.09495e+07
10  16  0
10  17  1.62815e+07
10  18  8.16575e+06
10  19  7.51838e+06
10  20  1.38201e+07
10  21  1.28198e+07
10  22  2.90202e+06
10  23  5.86753e+06
10  24  4.23504e+06
10  25  1.04413e+07
10  26  4.10719e+06
10  27  2.5463e+06
10  28  1.07851e+07
10  29  1.01728e+07
10  30  1.19739e+07
10  31  4.64042e+06
10  32  9.05865e+06
10  33  1.23194e+07
10  34  1.71197e+06
10  35  1.67388e+07
10  36  0
10  37  9.37054e+06
10  38  0
10  39  1.76658e+07
10  40  1.04859e+07
10  41  962719
10  42  0
10  43  2.77899e+06
10  44  5.71225e+06
10  45  2.58572e+07
10  46  2.15035e+07
10  47  2.67769e+07
10  48  1.96168e+07
10  49  2.40886e+07
10  50  4.10983e+07
10  51  1.80717e+07
10  52  1.17939e+07
10  53  5.83539e+06
10  54  0
10  55  1.01389e+07
10  56  1.81952e+07
10  57  9.63438e+06
10  58  2.38416e+07
10  59  1.22501e+07
10  60  1.28853e+07
10  61  5.87503e+06
10  62  1.0455e+07
10  63  1.31002e+07
10  64  7.56714e+06
10  65  1.98809e+07
10  66  1.47544e+07
10  67  1.75201e+07
10  68  1.12073e+07
10  69  1.86616e+07
10  70  1.5196e+07
10  71  1.81911e+07
10  72  6.22489e+06
10  73  3.88213e+07
10  74  3.6331e+07
10  75  2.32407e+07
10  76  3.7119e+07
10  77  2.3013e+07
10  78  3.32696e+07
10  79  2.13318e+07
10  80  1.50997e+07
10  81  1.8189e+07
10  82  1.99382e+07
10  83  1.01474e+07
10  84  1.02359e+07
10  85  1.09779e+07
10  86  2.09431e+07
10  87  1.52118e+07
10  88  9.49732e+06
10  89  9.51775e+06
10  90  9.2917e+06
10  91  1.5681e+07
10  92  2.09485e+07
10  93  5.83836e+06
10  94  1.23737e+07
10  95  6.77529e+06
10  96  1.79798e+07
10  97  7.31431e+06
10  98  1.35144e+07
10  99  9.93681e+06
10  100  4.28241e+06
11  0  6.14571e+06
11  1  4.47488e+06
11  2  0
11  3  4.24925e+06
11  4  0
11  5  0
11  6  6.68821e+06
11  7  0
11  8  0
11  9  6.55867e+06
11  10  6.22877e+06
11  11  0
11  12  2.00961e+07
11  13  1.15138e+07
11  14  1.30897e+07
11  15  8.16361e+06
11  16  7.52377e+06
11  17  0
11  18  1.0174e+07
11  19  8.24716e+06
11  20  0
11  21  1.96893e+07
11  22  8.94746e+06
11  23  0
11  24  2.35408e+07
11  25  1.1559e+07
11  26  8.82705e+06
11  27  0
11  28  0
11  29  5.18755e+06
11  30  1.61813e+06
11  31  0
11  32  0
11  33  1.0388e+07
11  34  1.38878e+07
11  35  2.1154e+06
11  36  8.90933e+06
11  37  0
11  38  0
11  39  1.40366e+07
11  40  1.52051e+07
11  41  0
11  42  4.03809e+06
11  43  5.31119e+06
11  44  1.8819e+07
11  45  2.26241e+07
11  46  2.73225e+07
11  47  3.76769e+07
11  48  2.13131e+07
11  49  1.69095e+07
11  50  1.36677e+07
11  51  1.73914e+07
11  52  1.50052e+07
11  53  2.12621e+07
11  54  0
11  55  9.18856e+06
11  56  7.02135e+06
11  57  1.32389e+07
11  58  1.13302e+07
11  59  0
11  60  1.09254e+07
11  61  1.75393e+07
11  62  1.00452e+07
11  63  1.49778e+07
11  64  1.62761e+07
11  65  1.33522e+07
11  66  1.53258e+07
11  67  3.34433e+06
11  68  6.38314e+06
11  69  1.83115e+07
11  70  2.80542e+07
11  71  1.80975e+07
11  72  1.43039e+07
11  73  4.28342e+07
11  74  3.98427e+07
11  75  4.01251e+06
11  76  2.58629e+07
11  77  1.60822e+07
11  78  7.79144e+06
11  79  1.52028e+07
11  80  1.74152e+07
11  81  1.02278e+07
11  82  1.28135e+07
11  83  7.50999e+06
11  84  2.33179e+07
11  85  6.06209e+06
11  86  1.45937e+07
11  87  1.27944e+07
11  88  5.12762e+06
11  89  1.0597e+07
11  90  1.39454e+07
11  91  1.06107e+07
11  92  9.37356e+06
11  93  1.38309e+07
11  94  1.04735e+07
11  95  2.21417e+07
11  96  1.8038e+07
11  97  8.22095e+06
11  98  5.34511e+06
11  99  1.86886e+07
11  100  1.18481e+07
12  0  1.74697e+07
12  1  0
12  2  8.63981e+06
12  3  9.65786e+06
12  4  0
12  5  0
12  6  3.97517e+06
12  7  1.16167e+07
