row  column  (images_6a.edf P-K*images_6a.edf Ar-K**2.3)
9  52  1.08168e+07
9  53  1.1571e+07
9  54  1.37874e+07
9  55  1.58049e+07
9  56  4.1841e+06
9  57  1.11803e+07
9  58  1.42359e+07
9  59  1.46047e+07
9  60  1.26202e+07
9  61  1.12381e+07
9  62  6.18291e+06
9  63  5.58889e+06
9  64  2.9557e+06
9  65  4.71039e+06
9  66  4.09783e+06
9  67  2.12736e+06
9  68  1.30214e+06
9  69  0
9  70  898500
9  71  1.92287e+06
9  72  0
9  73  967799
9  74  3.51514e+06
9  75  46169.4
9  76  608797
9  77  243943
9  78  1.31677e+06
9  79  0
9  80  518107
9  81  1.27477e+06
9  82  0
9  83  0
9  84  393052
9  85  196154
9  86  0
9  87  0
9  88  0
9  89  0
9  90  1.7174e+06
9  91  154822
9  92  2.07213e+06
9  93  404322
9  94  0
9  95  0
9  96  0
9  97  0
9  98  0
9  99  616000
9  100  0
10  0  1.57596e+07
10  1  1.68842e+07
10  2  1.15303e+07
10  3  1.61937e+07
10  4  2.22845e+07
10  5  1.83114e+07
10  6  2.21322e+07
10  7  2.10142e+07
10  8  1.90835e+07
10  9  2.10037e+07
10  10  2.54937e+07
10  11  2.36464e+07
10  12  1.91086e+07
10  13  2.65615e+07
10  14  3.22972e+07
10  15  2.31379e+07
10  16  2.05698e+07
10  17  2.4086e+07
10  18  2.31149e+07
10  19  1.62929e+07
10  20  2.12114e+07
10  21  1.75375e+07
10  22  1.60778e+07
10  23  1.23783e+07
10  24  2.14601e+07
10  25  2.06817e+07
10  26  2.50813e+07
10  27  2.46417e+07
10  28  2.81606e+07
10  29  3.4161e+07
10  30  1.60851e+07
10  31  2.54269e+07
10  32  3.00883e+07
10  33  2.68644e+07
10  34  2.22821e+07
10  35  2.18859e+07
10  36  3.02731e+07
10  37  2.35113e+07
10  38  4.76549e+07
10  39  1.6834e+07
10  40  1.7273e+07
10  41  8.36202e+06
10  42  5.65473e+06
10  43  50890.1
10  44  2.94192e+06
10  45  7.10797e+06
10  46  7.58615e+06
10  47  1.53488e+07
10  48  8.17145e+06
10  49  1.58872e+07
10  50  1.61551e+07
10  51  2.36065e+07
10  52  1.3561e+07
10  53  1.94412e+07
10  54  2.1474e+07
10  55  1.16521e+07
10  56  2.23428e+07
10  57  1.09628e+07
10  58  1.90991e+07
10  59  1.09781e+07
10  60  1.25092e+07
10  61  1.20177e+07
10  62  1.01763e+07
10  63  6.63511e+06
10  64  5.33489e+06
10  65  3.4352e+06
10  66  2.16755e+06
10  67  8.31354e+06
10  68  1.13986e+07
10  69  6951.83
10  70  1.71157e+06
10  71  762356
10  72  3.38368e+06
10  73  4.42214e+06
10  74  6.07923e+06
10  75  0
10  76  2.10925e+06
10  77  0
10  78  5.19955e+06
10  79  990489
10  80  0
10  81  334013
10  82  522386
10  83  0
10  84  0
10  85  1.88955e+06
10  86  0
10  87  2.60424e+06
10  88  12074.5
10  89  830106
10  90  824951
10  91  0
10  92  2.41191e+06
10  93  0
10  94  0
10  95  2.43202e+06
10  96  0
10  97  263927
10  98  342462
10  99  735153
10  100  0
11  0  2.6077e+07
11  1  3.18916e+07
11  2  2.36968e+07
11  3  2.79212e+07
11  4  2.2324e+07
11  5  2.86703e+07
11  6  3.50805e+07
11  7  2.32824e+07
11  8  2.55451e+07
11  9  2.34547e+07
11  10  3.19226e+07
11  11  1.93119e+07
11  12  2.98388e+07
11  13  2.52607e+07
11  14  3.35101e+07
11  15  2.55625e+07
11  16  1.55944e+07
11  17  2.17131e+07
11  18  2.06043e+07
11  19  2.84341e+07
11  20  3.29731e+07
11  21  1.68752e+07
11  22  2.37366e+07
11  23  2.32009e+07
11  24  1.95378e+07
11  25  3.33333e+07
11  26  2.5688e+07
11  27  3.83018e+07
11  28  3.3309e+07
11  29  3.26209e+07
11  30  4.20117e+07
11  31  2.85759e+07
11  32  3.18091e+07
11  33  3.44755e+07
11  34  1.8269e+07
11  35  2.91017e+07
11  36  3.33052e+07
11  37  3.73497e+07
11  38  4.58032e+07
11  39  3.07317e+07
11  40  1.07799e+07
11  41  2.06921e+07
11  42  1.14811e+07
11  43  9.08492e+06
11  44  6.69974e+06
11  45  6.90827e+06
11  46  5.64907e+06
11  47  3.00982e+06
11  48  1.25848e+07
11  49  2.40641e+07
11  50  1.35951e+07
11  51  1.7802e+07
11  52  1.69189e+07
11  53  2.34438e+07
11  54  1.67275e+07
11  55  2.16778e+07
11  56  6.99378e+06
11  57  1.36063e+07
11  58  2.22129e+07
11  59  1.34196e+07
11  60  1.06489e+07
11  61  1.34371e+07
11  62  7.59006e+06
11  63  1.12584e+07
11  64  3.21981e+06
11  65  1.85805e+07
11  66  3.30808e+06
11  67  1.41924e+06
11  68  3.84142e+06
11  69  1.89099e+06
11  70  3.4296e+06
11  71  2.9943e+06
11  72  8.38959e+06
11  73  754009
11  74  1.37754e+06
11  75  0
11  76  1.91032e+06
11  77  0
11  78  0
11  79  909935
11  80  1.55526e+06
11  81  0
11  82  1.63078e+06
11  83  645071
11  84  571161
11  85  893940
11  86  2.82886e+06
11  87  509037
11  88  0
11  89  1.55658e+06
11  90  1.97394e+06
11  91  1.24404e+06
11  92  880194
11  93  0
11  94  0
11  95  0
11  96  0
11  97  0
11  98  111792
11  99  0
11  100  3.21773e+06
12  0  3.16203e+07
12  1  2.46074e+07
12  2  2.12572e+07
12  3  1.97805e+07
12  4  1.23205e+07
12  5  2.01227e+07
12  6  2.15928e+07
12  7  2.76855e+07
12  8  2.3029e+07
12  9  2.74487e+07
12  10  3.17622e+07
12  11  3.83968e+07
12  12  3.2101e+07
12  13  2.99142e+07
12  14  3.68036e+07
12  15  3.00731e+07
12  16  2.27095e+07
12  17  2.09896e+07
12  18  3.45314e+07
12  19  2.19751e+07
12  20  2.89231e+07
12  21  2.13007e+07
12  22  2.18562e+07
12  23  1.87306e+07
12  24  2.32493e+07
12  25  2.38042e+07
12  26  2.85777e+07
12  27  2.42425e+07
12  28  3.5597e+07
12  29  4.2372e+07
12  30  4.53404e+07
12  31  3.9509e+07
12  32  3.22159e+07
12  33  2.98186e+07
12  34  2.18582e+07
12  35  2.72329e+07
12  36  2.31916e+07
12  37  3.0039e+07
12  38  4.2317e+07
12  39  2.87655e+07
12  40  2.38196e+07
12  41  1.07727e+07
12  42  5.31696e+06
12  43  7.91256e+06
12  44  1.07238e+07
12  45  3.92536e+06
12  46  1.3672e+07
12  47  8.89275e+06
12  48  2.64534e+07
12  49  2.92928e+07
12  50  1.43593e+07
12  51  2.08375e+07
12  52  8.1996e+06
12  53  2.165e+07
12  54  2.02743e+07
12  55  2.14276e+07
12  56  2.84759e+07
12  57  2.32591e+07
12  58  1.71412e+07
12  59  2.66768e+07
12  60  2.4268e+07
12  61  1.72672e+07
12  62  1.54337e+07
12  63  1.40197e+07
12  64  1.44433e+07
12  65  5.99281e+06
12  66  1.95304e+07
12  67  1.05021e+07
12  68  2.89858e+06
12  69  1.28191e+07
12  70  3.38163e+06
12  71  1.60142e+06
12  72  905312
12  73  0
12  74  0
12  75  0
12  76  3.5479e+06
12  77  4.28578e+06
12  78  319959
12  79  0
12  80  0
12  81  2.21755e+06
