row  column  (images_6a.edf Mn-K*images_6a.edf Ar-K**2.3)
11  69  1.70851e+07
11  70  2.56565e+06
11  71  4.18226e+06
11  72  1.36051e+07
11  73  4.26896e+06
11  74  1.34151e+07
11  75  2.34543e+07
11  76  7.25705e+06
11  77  1.25952e+07
11  78  1.54636e+07
11  79  1.53115e+07
11  80  0
11  81  3.8253e+06
11  82  7.09249e+06
11  83  8.23996e+06
11  84  0
11  85  1.58822e+07
11  86  0
11  87  1.20411e+07
11  88  2.01098e+07
11  89  1.43608e+07
11  90  1.03868e+07
11  91  1.39856e+07
11  92  1.10516e+07
11  93  1.11853e+07
11  94  5.40041e+06
11  95  1.45351e+07
11  96  6.37311e+06
11  97  1.89284e+07
11  98  1.7334e+07
11  99  3.04344e+06
11  100  1.00529e+07
12  0  3.77077e+06
12  1  1.36079e+07
12  2  0
12  3  6.18662e+06
12  4  5.85007e+06
12  5  7.2617e+06
12  6  3.57799e+06
12  7  1.44897e+06
12  8  8.81391e+06
12  9  9.11894e+06
12  10  9.44571e+06
12  11  8.09111e+06
12  12  5.37811e+06
12  13  0
12  14  9.73283e+06
12  15  4.90529e+06
12  16  9.60897e+06
12  17  4.41105e+06
12  18  6.87332e+06
12  19  0
12  20  1.50571e+07
12  21  0
12  22  6.62213e+06
12  23  2.66178e+06
12  24  7.36425e+06
12  25  8.68267e+06
12  26  7.07236e+06
12  27  183961
