row  column  (images_6a.edf S-K*images_6a.edf Ar-K**2.3)
9  53  4.53987e+07
9  54  3.85132e+07
9  55  4.23889e+07
9  56  4.65893e+07
9  57  4.42e+07
9  58  3.81306e+07
9  59  6.37437e+07
9  60  4.25757e+07
9  61  5.95703e+07
9  62  3.5933e+07
9  63  3.75955e+07
9  64  3.19099e+07
9  65  2.35095e+07
9  66  2.06146e+07
9  67  1.86579e+07
9  68  2.53686e+07
9  69  1.32927e+07
9  70  1.34657e+07
9  71  1.04408e+07
9  72  9.12443e+06
9  73  5.41497e+06
9  74  2.38699e+07
9  75  1.08011e+07
9  76  1.39929e+07
9  77  1.2068e+07
9  78  4.21604e+06
9  79  6.17139e+06
9  80  4.60469e+06
9  81  1.04959e+07
9  82  3.49177e+06
9  83  7.22004e+06
9  84  336202
9  85  1.23311e+06
9  86  7.92386e+06
9  87  1.79794e+06
9  88  1.8765e+06
9  89  1.25963e+06
9  90  1.5384e+06
9  91  4.61593e+06
9  92  3.61052e+06
9  93  1.28728e+06
9  94  1.24374e+06
9  95  0
9  96  0
9  97  0
9  98  2.1608e+06
9  99  3.62744e+06
9  100  898471
10  0  4.40798e+07
10  1  4.12365e+07
10  2  4.63243e+07
10  3  4.3614e+07
10  4  5.33989e+07
10  5  4.30183e+07
10  6  5.1824e+07
10  7  5.06509e+07
10  8  5.46782e+07
10  9  6.23861e+07
10  10  7.34546e+07
10  11  6.79542e+07
10  12  6.88153e+07
10  13  6.46069e+07
10  14  7.12444e+07
10  15  5.64794e+07
10  16  5.40262e+07
10  17  5.46585e+07
10  18  4.84548e+07
10  19  4.31391e+07
10  20  4.20218e+07
10  21  5.07296e+07
10  22  3.09992e+07
10  23  3.83237e+07
10  24  6.23559e+07
10  25  5.33729e+07
10  26  6.91931e+07
10  27  5.65698e+07
10  28  6.75659e+07
10  29  6.89546e+07
10  30  7.03834e+07
10  31  5.57207e+07
10  32  5.17712e+07
10  33  5.14442e+07
10  34  4.092e+07
10  35  6.61874e+07
10  36  6.05913e+07
10  37  6.94324e+07
10  38  9.68538e+07
10  39  7.29224e+07
10  40  5.45012e+07
10  41  2.86854e+07
10  42  2.62637e+07
10  43  1.88712e+07
10  44  1.75013e+07
10  45  3.10667e+07
10  46  2.61178e+07
10  47  3.99652e+07
10  48  4.75286e+07
10  49  3.9635e+07
10  50  6.50072e+07
10  51  5.61193e+07
10  52  5.85195e+07
10  53  5.36831e+07
10  54  7.04995e+07
10  55  4.19296e+07
10  56  4.58729e+07
10  57  4.13787e+07
10  58  5.22736e+07
10  59  3.94917e+07
10  60  4.75766e+07
10  61  4.79163e+07
10  62  3.68325e+07
10  63  2.67389e+07
10  64  2.95735e+07
10  65  3.24107e+07
10  66  2.95518e+07
10  67  3.45528e+07
10  68  2.09675e+07
10  69  2.09757e+07
10  70  1.02157e+07
10  71  9.56417e+06
10  72  1.11669e+07
10  73  1.81289e+07
10  74  1.29501e+07
10  75  7.25009e+06
10  76  2.16031e+07
10  77  8.86396e+06
10  78  1.64803e+07
10  79  8.08861e+06
10  80  4.6624e+06
10  81  1.00352e+07
10  82  3.63766e+06
10  83  4.72125e+06
10  84  2.35798e+06
10  85  4.35849e+06
10  86  4.23377e+06
10  87  1.26891e+06
10  88  2.19111e+06
10  89  4.89833e+06
10  90  2.94127e+06
10  91  1.08409e+06
10  92  335597
10  93  0
10  94  1.43488e+06
10  95  4.55626e+06
10  96  1.46114e+06
10  97  3.58493e+06
10  98  2.00805e+06
10  99  883592
10  100  1.41313e+06
11  0  5.34877e+07
11  1  4.88021e+07
11  2  4.54877e+07
11  3  4.05917e+07
11  4  5.85218e+07
11  5  5.49729e+07
11  6  5.76027e+07
11  7  4.03183e+07
11  8  4.9319e+07
11  9  5.15385e+07
11  10  6.61328e+07
11  11  6.4924e+07
11  12  7.39731e+07
11  13  6.58804e+07
11  14  7.27091e+07
11  15  6.48471e+07
11  16  5.51089e+07
11  17  4.05247e+07
11  18  5.82749e+07
11  19  5.33278e+07
11  20  6.61302e+07
11  21  4.68976e+07
11  22  4.07736e+07
11  23  5.79637e+07
11  24  6.01388e+07
11  25  5.65325e+07
11  26  5.24601e+07
11  27  6.85792e+07
11  28  6.91157e+07
11  29  6.29932e+07
11  30  7.25483e+07
11  31  5.77777e+07
11  32  6.99008e+07
11  33  8.23992e+07
11  34  5.6597e+07
11  35  6.91077e+07
11  36  5.32768e+07
11  37  8.14598e+07
11  38  9.43563e+07
11  39  6.16649e+07
11  40  4.27298e+07
11  41  5.39206e+07
11  42  3.31277e+07
11  43  1.67241e+07
11  44  2.19046e+07
11  45  2.71169e+07
11  46  2.50172e+07
11  47  3.94283e+07
11  48  3.75995e+07
11  49  5.77436e+07
11  50  6.0633e+07
11  51  5.48332e+07
11  52  6.08729e+07
11  53  5.98928e+07
11  54  4.49617e+07
11  55  5.18148e+07
11  56  4.25522e+07
11  57  3.51405e+07
11  58  4.743e+07
11  59  5.58999e+07
11  60  3.54671e+07
11  61  4.65105e+07
11  62  4.01514e+07
11  63  4.08503e+07
11  64  2.93256e+07
11  65  3.52833e+07
11  66  3.75533e+07
11  67  2.59488e+07
11  68  2.36706e+07
11  69  2.06064e+07
11  70  2.11145e+07
11  71  2.14058e+07
11  72  1.67606e+07
11  73  1.09304e+07
11  74  1.74158e+07
11  75  5.36029e+06
11  76  2.35913e+07
11  77  1.63652e+07
11  78  1.12058e+07
11  79  8.99612e+06
11  80  1.57343e+07
11  81  5.50409e+06
11  82  6.85257e+06
11  83  9.52343e+06
11  84  1.13086e+07
11  85  1.97953e+06
11  86  7.96311e+06
11  87  3.99052e+06
