row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
9  48  2.60849e+07
9  49  3.28218e+07
9  50  3.00179e+07
9  51  2.03617e+07
9  52  4.41245e+07
9  53  7.9504e+07
9  54  2.51818e+07
9  55  2.88826e+07
9  56  2.74301e+07
9  57  2.62299e+07
9  58  3.94207e+07
9  59  5.85047e+07
9  60  4.86452e+07
9  61  3.62477e+07
9  62  6.4698e+07
9  63  3.32244e+07
9  64  3.73224e+07
9  65  3.35994e+07
9  66  1.85234e+07
9  67  1.06235e+07
9  68  3.91735e+07
9  69  1.83495e+07
9  70  3.20268e+07
9  71  0
9  72  1.14747e+07
9  73  2.80135e+07
9  74  5.29739e+07
9  75  2.60968e+07
9  76  8.36487e+06
9  77  3.06175e+07
9  78  1.15709e+07
9  79  5.94508e+06
9  80  2.13605e+06
9  81  2.98242e+07
9  82  3.45965e+06
9  83  848513
9  84  0
9  85  1.79897e+06
9  86  1.44341e+07
9  87  1.08788e+07
9  88  0
9  89  0
9  90  0
9  91  1.58266e+07
9  92  1.56635e+07
9  93  1.18343e+07
9  94  0
9  95  0
9  96  0
9  97  2.3223e+07
9  98  1.75012e+07
9  99  2.43643e+07
9  100  0
10  0  4.75284e+07
10  1  4.98631e+07
10  2  5.94813e+07
10  3  3.78178e+07
10  4  7.74067e+07
10  5  5.50906e+07
10  6  3.50978e+07
10  7  7.78212e+07
10  8  5.79655e+07
10  9  4.08322e+07
10  10  6.64798e+07
10  11  5.77223e+07
10  12  6.95993e+07
10  13  4.55108e+07
10  14  5.90841e+07
10  15  9.51148e+07
10  16  5.96816e+07
10  17  4.5331e+07
10  18  3.01714e+07
10  19  3.58495e+07
10  20  4.86897e+07
10  21  2.81015e+07
10  22  3.73712e+07
10  23  3.26854e+07
10  24  7.8222e+07
10  25  3.89519e+07
10  26  8.50632e+07
10  27  7.77299e+07
10  28  5.44071e+07
10  29  4.58756e+07
10  30  4.66562e+07
10  31  4.11782e+07
10  32  3.93684e+07
10  33  4.35923e+07
10  34  3.10729e+07
10  35  4.30508e+07
10  36  6.50692e+07
10  37  8.99376e+07
10  38  9.97026e+07
10  39  6.9407e+07
10  40  5.61552e+07
10  41  2.09772e+07
10  42  1.48752e+07
10  43  1.53058e+07
10  44  8.04706e+06
10  45  4.08595e+07
10  46  1.86944e+07
10  47  2.88169e+07
10  48  3.22281e+07
