row  column  (images_25_2_757.edf Fe-K*images_25_2_757.edf Ar-K**2.3)
18  14  7.87043e+08
18  15  3.48126e+08
18  16  2.49954e+08
18  17  1.76006e+08
18  18  1.63397e+08
18  19  1.3641e+08
18  20  1.40111e+08
18  21  1.68773e+08
18  22  1.42619e+08
18  23  8.78493e+07
18  24  1.03464e+08
18  25  8.66889e+07
18  26  1.0637e+08
18  27  9.00369e+07
18  28  1.04048e+08
18  29  1.06866e+08
18  30  8.35878e+07
18  31  1.04661e+08
18  32  1.15684e+08
18  33  1.07421e+08
18  34  9.87973e+07
18  35  1.01812e+08
18  36  1.65497e+08
18  37  1.44293e+08
18  38  1.17656e+08
18  39  8.56264e+07
18  40  7.47161e+07
18  41  7.93359e+07
18  42  9.75666e+07
18  43  7.159e+07
18  44  6.9963e+07
18  45  6.6578e+07
18  46  8.4661e+07
18  47  8.32863e+07
18  48  6.96257e+07
18  49  8.48939e+07
18  50  1.08701e+08
19  0  1.48482e+08
19  1  1.33711e+08
19  2  1.1412e+08
19  3  1.19655e+08
19  4  1.49112e+08
19  5  1.36249e+08
19  6  1.59542e+08
19  7  1.8937e+08
19  8  1.8465e+08
19  9  1.80477e+08
19  10  2.10737e+08
19  11  2.68522e+08
19  12  6.96864e+08
19  13  1.61682e+09
19  14  6.65473e+08
19  15  2.8565e+08
19  16  1.73476e+08
19  17  1.49738e+08
19  18  1.3731e+08
19  19  1.15937e+08
19  20  1.17419e+08
19  21  1.51607e+08
19  22  1.26792e+08
19  23  1.17887e+08
19  24  9.44199e+07
19  25  1.00226e+08
19  26  9.17408e+07
19  27  9.6416e+07
19  28  9.75002e+07
19  29  9.07433e+07
19  30  1.09717e+08
19  31  1.18929e+08
19  32  1.08343e+08
19  33  1.25058e+08
19  34  9.41928e+07
19  35  1.17971e+08
19  36  1.79282e+08
19  37  1.16868e+08
19  38  1.1897e+08
19  39  8.41897e+07
19  40  7.94224e+07
19  41  7.97317e+07
19  42  8.24944e+07
19  43  6.72656e+07
19  44  6.19898e+07
19  45  7.54745e+07
19  46  6.98945e+07
19  47  7.51787e+07
19  48  7.49509e+07
19  49  9.6331e+07
19  50  9.30609e+07
20  0  1.61839e+08
20  1  1.27477e+08
20  2  1.39594e+08
20  3  9.61329e+07
20  4  1.14062e+08
20  5  1.57586e+08
20  6  1.72937e+08
20  7  1.64391e+08
20  8  1.60911e+08
20  9  1.47315e+08
20  10  2.1224e+08
20  11  2.73829e+08
20  12  6.11381e+08
20  13  1.1906e+09
20  14  4.51738e+08
20  15  2.54975e+08
20  16  1.73032e+08
20  17  1.72599e+08
20  18  1.15894e+08
20  19  1.05383e+08
20  20  1.16332e+08
20  21  1.6533e+08
20  22  1.46651e+08
20  23  1.01833e+08
20  24  9.63921e+07
20  25  7.98476e+07
20  26  1.0872e+08
20  27  1.09941e+08
20  28  1.08063e+08
20  29  8.85997e+07
20  30  8.34727e+07
20  31  1.23656e+08
20  32  9.85759e+07
20  33  1.01326e+08
20  34  9.30251e+07
20  35  1.1304e+08
20  36  2.16077e+08
20  37  1.39653e+08
20  38  9.94614e+07
20  39  8.25772e+07
20  40  7.71849e+07
20  41  8.42999e+07
20  42  8.52618e+07
20  43  7.11268e+07
20  44  8.05547e+07
20  45  6.62033e+07
20  46  8.95971e+07
20  47  8.59528e+07
20  48  8.43037e+07
20  49  1.02596e+08
20  50  8.79696e+07
21  0  1.59853e+08
21  1  1.25162e+08
21  2  1.20981e+08
21  3  9.05245e+07
21  4  1.13953e+08
21  5  1.20692e+08
21  6  1.98811e+08
21  7  1.7809e+08
21  8  1.34475e+08
21  9  1.66941e+08
21  10  1.37305e+08
21  11  2.05037e+08
21  12  5.55356e+08
21  13  8.6494e+08
21  14  3.73527e+08
21  15  1.85407e+08
21  16  1.3376e+08
21  17  1.22706e+08
21  18  9.35605e+07
21  19  9.81462e+07
21  20  1.35177e+08
21  21  1.76922e+08
21  22  1.55811e+08
21  23  9.83931e+07
21  24  1.11856e+08
21  25  1.13938e+08
21  26  1.07526e+08
21  27  1.08131e+08
21  28  1.1793e+08
21  29  9.92837e+07
21  30  1.02406e+08
21  31  1.08227e+08
21  32  1.30724e+08
21  33  1.04819e+08
21  34  9.70288e+07
21  35  1.15181e+08
21  36  2.39367e+08
21  37  1.05539e+08
21  38  1.13346e+08
21  39  7.34235e+07
21  40  9.50323e+07
21  41  8.1242e+07
21  42  6.17686e+07
21  43  5.37972e+07
21  44  8.35975e+07
21  45  5.96798e+07
21  46  7.64907e+07
21  47  7.15079e+07
21  48  8.00787e+07
21  49  1.01995e+08
21  50  1.02694e+08
22  0  1.3686e+08
22  1  8.00683e+07
22  2  8.77292e+07
22  3  9.65086e+07
22  4  9.6448e+07
22  5  1.35329e+08
22  6  1.86196e+08
22  7  1.31098e+08
22  8  1.37101e+08
22  9  1.14852e+08
22  10  1.54373e+08
22  11  2.22854e+08
22  12  3.37261e+08
22  13  7.34955e+08
22  14  3.68371e+08
22  15  1.84528e+08
22  16  1.55696e+08
22  17  1.32338e+08
22  18  1.0127e+08
22  19  1.10966e+08
22  20  1.17231e+08
22  21  1.47412e+08
22  22  1.38907e+08
22  23  9.57058e+07
22  24  1.22991e+08
22  25  1.0332e+08
22  26  1.19861e+08
22  27  8.91994e+07
