row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
14  40  1.41706e+09
14  41  1.35447e+09
14  42  1.32001e+09
14  43  1.41786e+09
14  44  1.58342e+09
14  45  1.53514e+09
14  46  1.71457e+09
14  47  1.58475e+09
14  48  1.75596e+09
14  49  1.6911e+09
14  50  2.08053e+09
15  0  1.64898e+09
15  1  1.52445e+09
15  2  1.68632e+09
15  3  1.41581e+09
15  4  1.52571e+09
15  5  1.65181e+09
15  6  1.65719e+09
15  7  1.67838e+09
15  8  1.79797e+09
15  9  1.88734e+09
15  10  2.66892e+09
15  11  3.12126e+09
15  12  2.08547e+09
15  13  1.70809e+09
15  14  1.86323e+09
15  15  1.69018e+09
15  16  1.79564e+09
15  17  1.85901e+09
15  18  1.79361e+09
15  19  1.31998e+09
15  20  1.41924e+09
15  21  1.42283e+09
15  22  1.40327e+09
15  23  1.44376e+09
15  24  1.26269e+09
15  25  1.36098e+09
15  26  1.33147e+09
15  27  1.25399e+09
15  28  1.58543e+09
15  29  1.34275e+09
15  30  1.46577e+09
15  31  1.8104e+09
15  32  1.6971e+09
15  33  1.7218e+09
15  34  1.66117e+09
15  35  1.81205e+09
15  36  1.74073e+09
15  37  1.60323e+09
15  38  1.22822e+09
15  39  1.22359e+09
15  40  1.38718e+09
15  41  1.57225e+09
15  42  1.33939e+09
15  43  1.21378e+09
15  44  1.57138e+09
15  45  1.42331e+09
15  46  1.38642e+09
15  47  1.47126e+09
15  48  1.65539e+09
15  49  1.92464e+09
15  50  1.95127e+09
16  0  1.63704e+09
16  1  1.83763e+09
16  2  1.49393e+09
16  3  1.55812e+09
16  4  1.73351e+09
16  5  1.70494e+09
16  6  1.56077e+09
16  7  1.8125e+09
16  8  1.79853e+09
16  9  1.91635e+09
16  10  2.80907e+09
16  11  3.33524e+09
16  12  2.29943e+09
16  13  1.98996e+09
16  14  1.98679e+09
16  15  1.70949e+09
16  16  1.79856e+09
16  17  1.79688e+09
16  18  1.70181e+09
16  19  1.50868e+09
16  20  1.58416e+09
16  21  1.47709e+09
16  22  1.44667e+09
16  23  1.26164e+09
16  24  1.30204e+09
16  25  1.40365e+09
16  26  1.27766e+09
16  27  1.3314e+09
16  28  1.4234e+09
16  29  1.31902e+09
16  30  1.26213e+09
16  31  1.73085e+09
16  32  1.77991e+09
16  33  1.84546e+09
16  34  1.60685e+09
16  35  1.6914e+09
16  36  1.76967e+09
16  37  1.40013e+09
16  38  1.23447e+09
16  39  1.15619e+09
16  40  1.36476e+09
16  41  1.29618e+09
16  42  1.43188e+09
16  43  1.34654e+09
16  44  1.38528e+09
16  45  1.49356e+09
16  46  1.44604e+09
16  47  1.83012e+09
16  48  1.59588e+09
16  49  1.74942e+09
16  50  2.08027e+09
17  0  1.84093e+09
17  1  1.8406e+09
17  2  1.68026e+09
17  3  1.57556e+09
17  4  1.55351e+09
17  5  1.71103e+09
17  6  1.6469e+09
17  7  1.74602e+09
17  8  2.00098e+09
17  9  1.98779e+09
17  10  3.06633e+09
17  11  3.55083e+09
