row  column  (images_25_2_757.edf P-K*images_25_2_757.edf Ar-K**2.3)
24  31  0
24  32  1.59961e+07
24  33  0
24  34  0
24  35  0
24  36  0
24  37  0
24  38  0
24  39  0
24  40  0
24  41  0
24  42  0
24  43  0
24  44  0
24  45  0
24  46  1.06486e+07
24  47  6.61067e+06
24  48  7.19462e+06
24  49  1.83459e+07
24  50  2.42935e+07
25  0  0
25  1  0
25  2  0
25  3  0
25  4  1.25408e+07
25  5  1.6164e+07
25  6  1.32394e+07
25  7  0
25  8  1.34987e+07
25  9  0
25  10  0
25  11  0
25  12  1.70475e+06
25  13  0
25  14  0
25  15  0
25  16  1.10988e+07
25  17  2.05804e+07
25  18  0
25  19  1.7013e+07
25  20  9.45343e+06
25  21  1.41935e+07
25  22  1.97315e+07
25  23  1.36438e+07
25  24  0
25  25  1.11164e+07
25  26  0
25  27  0
25  28  0
25  29  0
25  30  0
25  31  0
25  32  0
25  33  0
25  34  1.05139e+07
25  35  0
25  36  0
25  37  0
25  38  0
25  39  0
25  40  0
25  41  0
25  42  0
25  43  0
25  44  0
25  45  0
25  46  0
25  47  8.52762e+06
25  48  0
25  49  1.05023e+07
25  50  1.19816e+07
26  0  0
26  1  0
26  2  0
26  3  1.21355e+07
26  4  0
26  5  1.94054e+07
26  6  1.70366e+07
26  7  8.76505e+06
26  8  1.08941e+07
26  9  1.03964e+07
26  10  0
26  11  1.20846e+07
26  12  0
26  13  6.59404e+06
26  14  0
26  15  0
26  16  0
26  17  0
26  18  1.27495e+07
26  19  1.33888e+07
26  20  1.37316e+07
26  21  1.54245e+07
26  22  1.63342e+07
26  23  0
26  24  8.95296e+06
26  25  1.29851e+07
26  26  0
26  27  1.08415e+07
26  28  0
26  29  0
26  30  0
26  31  0
26  32  8.12442e+06
26  33  0
26  34  1.54488e+07
26  35  0
26  36  0
26  37  0
26  38  0
26  39  0
26  40  0
26  41  0
26  42  7.92129e+06
26  43  0
26  44  9.30113e+06
26  45  1.53675e+07
26  46  0
26  47  0
26  48  9.28402e+06
26  49  0
26  50  2.7809e+07
27  0  0
27  1  0
27  2  0
27  3  1.1828e+07
27  4  1.17183e+07
27  5  1.66505e+07
27  6  2.0009e+07
27  7  1.35059e+07
27  8  2.22161e+07
