row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
13  6  1.26784e+07
13  7  9.84445e+06
13  8  1.97896e+07
13  9  1.60293e+07
13  10  1.28312e+07
13  11  1.0243e+07
13  12  0
13  13  0
13  14  3.71936e+06
13  15  7.87146e+06
13  16  2.17651e+07
13  17  9.08182e+06
13  18  1.31068e+07
13  19  1.69843e+07
13  20  2.56456e+07
13  21  1.36364e+07
13  22  1.58581e+07
13  23  9.73347e+06
13  24  2.44895e+07
13  25  2.29695e+07
13  26  2.02945e+07
13  27  2.87762e+07
13  28  2.40091e+07
13  29  1.87203e+07
13  30  2.04747e+07
13  31  1.81294e+07
13  32  9.28312e+06
13  33  1.92229e+07
13  34  1.4851e+07
13  35  2.13785e+07
13  36  2.07091e+07
13  37  2.22162e+07
13  38  2.19017e+07
13  39  8.91185e+06
13  40  2.05238e+07
13  41  1.76244e+07
13  42  1.46445e+07
13  43  2.57906e+07
13  44  1.45575e+07
13  45  1.23461e+07
13  46  1.27463e+07
13  47  1.97399e+07
13  48  8.48606e+06
13  49  1.31938e+07
13  50  2.18653e+07
14  0  2.97578e+07
14  1  2.10696e+07
14  2  1.11802e+07
14  3  1.24191e+07
14  4  1.16372e+07
14  5  1.43692e+07
14  6  2.11371e+07
14  7  9.69325e+06
14  8  1.33227e+07
14  9  2.16229e+07
14  10  9.47683e+06
14  11  7.79363e+06
14  12  9.32224e+06
14  13  0
14  14  2.15701e+07
14  15  1.19017e+07
14  16  1.98461e+07
14  17  1.01824e+07
14  18  1.75615e+07
14  19  2.10212e+07
14  20  1.88833e+07
14  21  9.65738e+06
14  22  2.07841e+07
14  23  2.39441e+07
14  24  0
14  25  7.77428e+06
14  26  1.69213e+07
14  27  1.35134e+07
14  28  1.16854e+07
14  29  1.67867e+07
14  30  1.54029e+07
14  31  1.4004e+07
14  32  2.04687e+07
14  33  1.37956e+07
14  34  5.99712e+06
14  35  1.94712e+07
14  36  1.21984e+07
14  37  2.21231e+07
14  38  1.36574e+07
14  39  1.308e+07
14  40  1.26265e+07
14  41  2.66133e+07
14  42  1.19329e+07
14  43  2.42487e+07
14  44  2.49537e+07
14  45  4.60277e+07
14  46  1.71409e+07
14  47  1.03592e+07
14  48  1.31261e+07
14  49  1.89523e+07
14  50  2.31752e+07
15  0  9.70108e+06
15  1  1.06533e+07
15  2  2.26246e+07
15  3  1.70076e+07
15  4  2.06337e+07
15  5  6.66922e+06
15  6  2.04125e+07
15  7  1.47907e+07
15  8  2.32455e+07
15  9  1.25551e+07
15  10  1.01017e+07
15  11  8.83766e+06
15  12  0
15  13  0
15  14  1.01441e+07
15  15  3.56376e+06
15  16  1.10647e+07
15  17  2.32347e+07
15  18  2.16493e+07
15  19  2.34617e+07
15  20  1.92132e+07
15  21  1.26324e+07
15  22  9.66503e+06
15  23  1.38467e+07
15  24  2.02014e+07
15  25  2.96972e+06
15  26  1.64017e+07
15  27  1.55468e+07
15  28  2.52208e+07
15  29  1.21447e+07
15  30  9.30323e+06
15  31  2.58623e+07
15  32  1.89716e+07
15  33  6.48878e+06
15  34  2.13671e+07
15  35  1.25269e+07
15  36  1.19945e+07
15  37  2.66459e+07
15  38  2.11999e+07
15  39  1.92099e+07
15  40  2.24737e+07
15  41  1.5374e+07
15  42  2.01302e+07
15  43  1.44534e+07
15  44  1.31332e+07
15  45  1.83302e+07
15  46  81349.9
15  47  1.55037e+07
15  48  2.25886e+07
15  49  1.94314e+07
15  50  1.11359e+07
16  0  1.71784e+07
16  1  2.04006e+07
16  2  2.15748e+07
16  3  2.29292e+07
16  4  2.58489e+07
16  5  9.85284e+06
16  6  1.13154e+07
16  7  2.80077e+07
16  8  1.58804e+07
16  9  1.31147e+07
16  10  6.11969e+06
16  11  6.98003e+06
16  12  0
16  13  0
16  14  9.85421e+06
16  15  1.58834e+07
16  16  1.0659e+07
16  17  6.64651e+06
16  18  1.07927e+07
16  19  1.3801e+07
16  20  1.58239e+07
16  21  1.59288e+07
16  22  1.55571e+07
16  23  1.63557e+07
16  24  2.6776e+07
16  25  1.19646e+07
16  26  2.74027e+07
16  27  1.54454e+07
16  28  1.00125e+07
16  29  1.49266e+07
16  30  1.27645e+07
16  31  2.28333e+07
16  32  2.17782e+07
16  33  1.65412e+07
16  34  1.60188e+07
16  35  2.28425e+07
16  36  2.64233e+07
16  37  2.28295e+07
16  38  2.05088e+07
16  39  1.43611e+07
16  40  1.25201e+07
16  41  1.67931e+07
16  42  1.67558e+07
16  43  2.77805e+07
16  44  2.7668e+07
16  45  1.41449e+07
16  46  2.77143e+07
16  47  9.84926e+06
16  48  2.19102e+07
16  49  1.50678e+07
16  50  1.79262e+07
17  0  1.46546e+07
17  1  1.32993e+07
17  2  1.02322e+07
17  3  1.78888e+07
17  4  6.1096e+06
17  5  1.83514e+07
17  6  1.03994e+07
17  7  1.18e+07
17  8  1.04227e+07
17  9  1.23804e+07
17  10  8.01564e+06
17  11  6.37332e+06
17  12  7.37465e+06
17  13  0
17  14  412806
17  15  9.29082e+06
17  16  1.42001e+07
17  17  1.48363e+07
17  18  1.24471e+07
17  19  1.00833e+07
17  20  1.33523e+07
17  21  2.0527e+07
17  22  2.25834e+07
17  23  1.40292e+07
17  24  3.14058e+07
17  25  1.83656e+07
17  26  1.57179e+07
17  27  2.07612e+07
17  28  1.43286e+07
17  29  2.27937e+07
17  30  1.79747e+07
17  31  1.02898e+07
17  32  2.1628e+07
17  33  1.21079e+07
17  34  2.30041e+07
17  35  2.03402e+07
17  36  8.00763e+06
17  37  2.0729e+07
17  38  2.6264e+07
17  39  2.23487e+07
17  40  1.62134e+07
17  41  2.24282e+07
17  42  1.82713e+07
17  43  2.70653e+07
17  44  9.03564e+06
17  45  2.23699e+07
17  46  2.49001e+07
17  47  2.32821e+07
17  48  1.38667e+07
17  49  1.5943e+07
17  50  7.33885e+06
18  0  1.69849e+07
18  1  1.41277e+07
18  2  1.09834e+07
18  3  1.53649e+07
18  4  2.35613e+07
18  5  1.42568e+07
18  6  1.21425e+07
18  7  2.04428e+07
18  8  1.30687e+07
18  9  1.54296e+07
18  10  8.05738e+06
18  11  1.29813e+06
18  12  6.0642e+06
18  13  0
18  14  0
18  15  4.13043e+06
18  16  2.59808e+07
18  17  1.92954e+07
18  18  1.8403e+07
18  19  2.38207e+07
