row  column  (images_12_26nov.edf S_K*images_12_26nov.edf Ar_K**2.3)
20  20  1.88413e+08
20  21  1.71035e+08
20  22  2.62803e+08
20  23  1.68014e+08
20  24  2.93048e+08
20  25  3.40015e+08
20  26  1.86721e+08
20  27  1.04042e+08
20  28  0
20  29  7.73645e+07
20  30  9.08979e+07
20  31  1.01393e+08
20  32  4.20864e+07
20  33  2.10553e+08
20  34  2.85253e+08
20  35  3.25862e+08
20  36  2.7534e+08
20  37  4.05346e+08
20  38  4.33636e+08
20  39  3.66898e+08
20  40  4.0707e+08
20  41  4.14157e+08
20  42  3.63151e+08
20  43  4.12127e+08
20  44  3.7904e+08
20  45  4.59825e+08
20  46  3.43059e+08
20  47  2.52104e+08
20  48  2.92962e+08
20  49  3.38924e+08
20  50  3.88357e+08
21  0  0
21  1  0
21  2  0
21  3  1.06703e+08
21  4  1.78713e+08
21  5  1.16958e+08
21  6  3.13327e+07
21  7  1.03715e+08
21  8  1.37447e+08
21  9  1.47696e+08
21  10  1.24242e+08
21  11  8.22795e+07
21  12  1.21816e+08
21  13  1.42005e+08
21  14  2.04647e+08
21  15  1.48356e+08
21  16  1.28815e+08
21  17  9.97099e+07
21  18  2.11896e+08
21  19  2.3297e+08
21  20  2.24999e+08
21  21  2.32721e+08
21  22  2.33461e+08
21  23  2.88889e+08
21  24  3.77661e+08
21  25  4.529e+08
21  26  2.06377e+08
21  27  0
21  28  0
21  29  8.40326e+07
21  30  1.19176e+08
21  31  9.35986e+07
21  32  6.67586e+07
21  33  2.75709e+08
21  34  2.90634e+08
21  35  2.94344e+08
21  36  3.85264e+08
21  37  4.15028e+08
21  38  2.26172e+08
21  39  4.01107e+08
21  40  4.09353e+08
21  41  3.45602e+08
21  42  2.65233e+08
21  43  3.64908e+08
21  44  4.37577e+08
21  45  4.06993e+08
21  46  3.07768e+08
21  47  1.71744e+08
21  48  2.61996e+08
21  49  3.9591e+08
21  50  4.10232e+08
22  0  0
22  1  4.39421e+07
22  2  1.0821e+08
22  3  7.90954e+07
22  4  1.71636e+08
22  5  1.4516e+08
22  6  1.36022e+08
22  7  7.71998e+07
22  8  1.76878e+08
22  9  1.19765e+08
22  10  7.66095e+07
22  11  1.56397e+08
22  12  1.24129e+08
22  13  1.64419e+08
22  14  1.86748e+08
22  15  1.30434e+08
22  16  0
22  17  1.7322e+08
22  18  1.91391e+08
22  19  2.05298e+08
22  20  2.60688e+08
22  21  1.92833e+08
22  22  1.60965e+08
22  23  2.85892e+08
22  24  2.96065e+08
22  25  3.47755e+08
22  26  1.95852e+08
22  27  0
22  28  0
22  29  0
22  30  4.17256e+06
22  31  5.27444e+07
22  32  1.16901e+08
22  33  1.68643e+08
22  34  3.12776e+08
22  35  3.41381e+08
22  36  3.65652e+08
22  37  4.16071e+08
22  38  3.08172e+08
22  39  3.93273e+08
22  40  4.63702e+08
22  41  3.30763e+08
22  42  3.17077e+08
22  43  4.23083e+08
22  44  3.68406e+08
22  45  3.64266e+08
22  46  2.73091e+08
22  47  1.22644e+08
22  48  2.15696e+08
22  49  3.04879e+08
22  50  3.20579e+08
23  0  0
23  1  8.53904e+07
23  2  6.85588e+07
23  3  1.09556e+08
23  4  1.94258e+08
23  5  1.31506e+08
23  6  1.973e+08
23  7  9.15593e+07
23  8  1.37375e+08
23  9  1.62592e+08
23  10  1.22729e+08
23  11  7.82774e+07
23  12  1.5939e+08
23  13  1.50545e+08
23  14  1.58961e+08
23  15  1.01138e+08
23  16  7.75548e+07
23  17  8.11382e+07
23  18  1.81669e+08
23  19  2.09077e+08
23  20  2.37954e+08
