row  column  (images_12_26nov.edf Cu_K*images_12_26nov.edf Ar_K**2.3)
22  13  0
22  14  0
22  15  0
22  16  0
22  17  0
22  18  0
22  19  0
22  20  0
22  21  1.14198e+07
22  22  7.8207e+07
22  23  0
22  24  2.1587e+06
22  25  4.14314e+07
22  26  1.56907e+07
22  27  2.24897e+07
22  28  4.58904e+07
22  29  5.21047e+07
22  30  0
22  31  0
22  32  0
22  33  3.30863e+07
22  34  1.82822e+07
22  35  0
22  36  3.29258e+06
22  37  0
22  38  0
22  39  0
22  40  0
22  41  0
22  42  1.12204e+07
22  43  3.2286e+07
22  44  0
22  45  0
22  46  0
22  47  0
22  48  0
22  49  0
22  50  1.95182e+06
23  0  0
23  1  4.91805e+07
23  2  0
23  3  1.15149e+07
23  4  0
23  5  0
23  6  0
23  7  7.38544e+07
23  8  9.2441e+06
23  9  1.10714e+07
23  10  0
23  11  0
23  12  2.81339e+07
23  13  0
23  14  8.92053e+06
23  15  0
23  16  0
23  17  0
23  18  1.06812e+07
23  19  0
23  20  0
23  21  0
23  22  4.20594e+07
23  23  0
23  24  5.91292e+06
23  25  1.54099e+07
23  26  1.02244e+08
23  27  1.89809e+06
23  28  0
23  29  0
23  30  1.6085e+07
23  31  7.84965e+06
23  32  0
23  33  4.32236e+07
23  34  1.27452e+07
23  35  0
23  36  3.38069e+06
23  37  0
23  38  0
23  39  0
23  40  0
23  41  0
23  42  0
23  43  0
23  44  2.7161e+07
23  45  5.09944e+07
23  46  0
23  47  0
23  48  0
23  49  0
23  50  0
24  0  0
24  1  0
24  2  5.97405e+07
24  3  6.35378e+07
24  4  0
24  5  5.93268e+07
24  6  0
24  7  0
24  8  0
24  9  0
24  10  0
24  11  0
24  12  2.19003e+07
24  13  4.22502e+07
24  14  0
24  15  4.8387e+07
24  16  8.95019e+07
24  17  0
24  18  3.3464e+07
24  19  0
24  20  0
24  21  1.05963e+08
24  22  0
24  23  2.83853e+07
24  24  0
24  25  4.4087e+07
24  26  1.22041e+07
24  27  0
24  28  4.81966e+07
24  29  0
24  30  0
24  31  4.07993e+07
24  32  0
24  33  0
24  34  1.8566e+07
24  35  2.00145e+07
24  36  7.72294e+06
24  37  0
24  38  4.40538e+07
24  39  0
24  40  0
24  41  4.1548e+07
24  42  5.93314e+06
24  43  8.90895e+07
24  44  0
24  45  0
24  46  8.04189e+07
24  47  0
24  48  0
24  49  2.68475e+07
24  50  0
25  0  0
25  1  1.58425e+07
25  2  0
25  3  5.32008e+06
25  4  0
25  5  1.34234e+07
25  6  0
25  7  0
25  8  0
25  9  0
25  10  240491
25  11  4.8274e+06
25  12  4.68412e+07
25  13  0
25  14  0
25  15  2.45795e+07
25  16  0
25  17  0
25  18  0
25  19  2.3766e+07
25  20  4.6389e+07
25  21  0
25  22  0
25  23  1.22136e+07
25  24  1.48255e+07
25  25  0
25  26  0
25  27  1.57426e+06
25  28  0
25  29  2.47138e+07
25  30  0
25  31  0
25  32  0
25  33  0
25  34  0
25  35  1.14217e+07
25  36  1.84679e+07
25  37  5.25595e+07
25  38  0
25  39  0
25  40  0
25  41  1.57608e+07
25  42  0
25  43  0
25  44  1.82514e+07
25  45  2.2815e+07
25  46  2.9701e+07
25  47  0
25  48  0
25  49  0
25  50  0
26  0  0
26  1  0
26  2  0
26  3  6.257e+07
26  4  4.18458e+06
26  5  0
26  6  0
26  7  0
26  8  0
26  9  0
26  10  2.05043e+06
26  11  0
26  12  0
26  13  0
26  14  6.20412e+07
26  15  0
26  16  0
26  17  6.2264e+07
26  18  0
26  19  0
26  20  1.93286e+07
26  21  1.90405e+07
26  22  0
26  23  7.42762e+06
26  24  0
26  25  0
26  26  3.52626e+07
26  27  1.32485e+07
26  28  0
26  29  1.92018e+07
26  30  0
26  31  0
26  32  0
26  33  0
26  34  0
26  35  4.37889e+07
26  36  0
26  37  0
26  38  0
26  39  0
26  40  0
26  41  4.35127e+07
26  42  0
26  43  5.38148e+07
26  44  9.97053e+06
26  45  4.37188e+07
26  46  0
26  47  3.66765e+07
26  48  1.61999e+07
26  49  3.35929e+07
26  50  0
27  0  8.29401e+07
27  1  0
27  2  0
27  3  1.90927e+07
27  4  7.03061e+07
27  5  6.62672e+06
27  6  0
27  7  4.9603e+06
27  8  0
27  9  7.32496e+06
27  10  3.65409e+07
27  11  0
27  12  0
27  13  0
27  14  9.79728e+07
27  15  0
27  16  0
27  17  0
27  18  0
27  19  3.92881e+06
27  20  0
27  21  0
27  22  0
27  23  0
27  24  0
27  25  5.05331e+07
27  26  0
27  27  0
27  28  0
27  29  0
27  30  0
27  31  0
27  32  0
27  33  0
27  34  0
27  35  2.60699e+06
27  36  9.89522e+06
27  37  3.01537e+07
27  38  1.34653e+06
27  39  0
27  40  5.17683e+07
27  41  2.48187e+07
27  42  0
27  43  3.12431e+07
27  44  0
27  45  0
27  46  4.22995e+07
27  47  0
27  48  0
27  49  0
27  50  1.53217e+07
28  0  0
28  1  0
28  2  8.38237e+07
28  3  1.06698e+07
28  4  0
28  5  1.33678e+07
28  6  0
28  7  3.00071e+07
28  8  0
28  9  6.35728e+07
28  10  0
28  11  5.77018e+07
28  12  0
28  13  0
28  14  1.25427e+07
28  15  8.39784e+06
28  16  0
28  17  2.69786e+07
28  18  7.22847e+07
28  19  917807
28  20  0
28  21  3.5843e+07
28  22  0
28  23  1.08261e+08
28  24  3.00456e+07
28  25  0
28  26  7.94806e+06
28  27  0
28  28  9.99652e+06
28  29  0
28  30  9.40427e+06
28  31  0
28  32  0
28  33  0
28  34  0
28  35  2.97362e+07
28  36  2.6854e+07
28  37  0
28  38  7.8537e+06
28  39  0
28  40  1.3536e+07
28  41  0
28  42  4.22702e+07
28  43  0
28  44  0
28  45  2.96559e+07
28  46  0
28  47  7.78258e+06
28  48  1.7286e+07
28  49  0
28  50  0
29  0  1.95636e+07
29  1  9.19372e+06
29  2  0
29  3  1.24909e+06
29  4  3.89778e+06
29  5  0
29  6  5.59262e+07
29  7  1.34315e+08
29  8  0
29  9  0
29  10  2.18899e+07
29  11  0
29  12  0
29  13  0
29  14  1.20869e+07
29  15  0
29  16  0
29  17  0
29  18  0
29  19  0
29  20  0
29  21  0
29  22  3.13113e+07
29  23  1.03535e+07
29  24  573920
29  25  2.63797e+07
29  26  0
29  27  0
29  28  0
29  29  0
29  30  0
29  31  0
29  32  0
29  33  0
29  34  0
29  35  0
29  36  0
29  37  0
29  38  3.50185e+07
29  39  0
29  40  0
29  41  3.17099e+07
29  42  0
29  43  0
29  44  0
29  45  0
29  46  0
29  47  1.74789e+07
29  48  4.27893e+06
29  49  0
29  50  0
30  0  0
30  1  1.41988e+07
30  2  5.17461e+06
30  3  1.27851e+07
30  4  0
30  5  1.56957e+07
30  6  0
30  7  0
30  8  2.53043e+06
30  9  1.045e+08
30  10  3.79324e+06
30  11  5.40781e+07
30  12  0
30  13  0
30  14  0
30  15  3.35826e+06
30  16  2.87477e+07
30  17  0
30  18  0
30  19  0
30  20  0
30  21  6.86264e+06
30  22  0
30  23  0
30  24  6.115e+07
30  25  4.25374e+06
30  26  0
30  27  4.26417e+07
30  28  0
30  29  0
30  30  7.57961e+06
30  31  0
30  32  0
30  33  1.81517e+07
30  34  1.00527e+08
30  35  0
30  36  0
30  37  3.81955e+07
30  38  0
30  39  0
30  40  3.56873e+07
30  41  1.23356e+08
30  42  0
30  43  2.64012e+07
30  44  0
30  45  0
30  46  0
30  47  0
30  48  6.92908e+07
30  49  0
30  50  7.81907e+06
31  0  0
31  1  0
31  2  0
31  3  0
31  4  2.07374e+07
31  5  0
31  6  0
31  7  0
31  8  0
31  9  2.1887e+07
31  10  0
31  11  0
31  12  1.8316e+06
31  13  0
31  14  0
31  15  4.1512e+07
31  16  0
31  17  2.64552e+07
31  18  0
31  19  0
31  20  0
31  21  0
31  22  1.43882e+07
31  23  0
31  24  7.6045e+07
31  25  0
31  26  0
31  27  0
31  28  2.16833e+06
31  29  0
31  30  1.21149e+07
31  31  3.9221e+07
31  32  2.79977e+07
31  33  0
31  34  1.9137e+07
31  35  0
31  36  2.68931e+07
31  37  0
31  38  0
31  39  0
31  40  0
31  41  939772
31  42  1.28042e+08
31  43  5.1746e+07
31  44  0
31  45  0
31  46  0
31  47  0
31  48  1.636e+07
31  49  0
31  50  0
32  0  0
32  1  0
32  2  2.2439e+07
32  3  2.15533e+07
32  4  0
32  5  0
32  6  4.80084e+06
32  7  0
32  8  0
32  9  1.50434e+07
32  10  0
32  11  9.12801e+06
32  12  0
32  13  0
32  14  0
32  15  1.28814e+07
32  16  2.75833e+07
32  17  1.15698e+07
32  18  0
32  19  0
32  20  0
32  21  0
32  22  0
32  23  3.54992e+07
32  24  0
32  25  0
32  26  0
32  27  1.11252e+07
