row  column  (images_12_26nov.edf Ca_K*images_12_26nov.edf Ar_K**2.3)
19  24  6.78618e+09
19  25  8.34961e+09
19  26  6.9232e+09
19  27  5.5718e+09
19  28  5.89893e+09
19  29  5.77627e+09
19  30  5.56746e+09
19  31  5.42996e+09
19  32  4.91199e+09
19  33  6.16206e+09
19  34  5.84903e+09
19  35  6.52501e+09
19  36  6.63682e+09
19  37  6.30173e+09
19  38  6.41223e+09
19  39  7.33625e+09
19  40  7.6922e+09
19  41  7.07307e+09
19  42  6.2736e+09
19  43  6.22933e+09
19  44  5.85309e+09
19  45  5.90326e+09
19  46  5.11584e+09
19  47  5.02043e+09
19  48  4.98074e+09
19  49  6.44052e+09
19  50  7.27688e+09
20  0  1.80492e+09
20  1  2.87534e+09
20  2  4.00708e+09
20  3  4.249e+09
20  4  5.74786e+09
20  5  5.22264e+09
20  6  5.03666e+09
20  7  4.87786e+09
20  8  5.67408e+09
20  9  7.08081e+09
20  10  7.29765e+09
20  11  6.18061e+09
20  12  5.64845e+09
20  13  6.02499e+09
20  14  7.74866e+09
20  15  6.8472e+09
20  16  4.67693e+09
20  17  4.96943e+09
20  18  5.40366e+09
20  19  5.3794e+09
20  20  5.7043e+09
20  21  5.6335e+09
20  22  5.72527e+09
20  23  5.92793e+09
20  24  7.15616e+09
20  25  8.01231e+09
20  26  7.11048e+09
20  27  5.52716e+09
20  28  5.03281e+09
20  29  5.3295e+09
20  30  5.46025e+09
20  31  4.76502e+09
20  32  4.69567e+09
20  33  5.38858e+09
20  34  6.22903e+09
20  35  6.37006e+09
20  36  6.19572e+09
20  37  6.2641e+09
20  38  6.02749e+09
20  39  7.08548e+09
20  40  7.59218e+09
20  41  6.73686e+09
20  42  5.81641e+09
20  43  6.51926e+09
20  44  5.75375e+09
20  45  6.09885e+09
20  46  5.24345e+09
20  47  4.71909e+09
20  48  5.24215e+09
20  49  6.19e+09
20  50  6.77203e+09
21  0  2.46504e+09
21  1  3.91195e+09
21  2  4.36088e+09
21  3  4.57062e+09
21  4  6.32996e+09
21  5  5.6058e+09
21  6  4.77336e+09
21  7  5.13873e+09
21  8  5.50127e+09
21  9  6.72545e+09
21  10  5.99701e+09
21  11  5.60634e+09
21  12  6.46059e+09
21  13  6.45834e+09
21  14  7.9187e+09
21  15  6.04279e+09
21  16  4.41932e+09
21  17  5.08221e+09
21  18  5.23473e+09
21  19  5.25202e+09
21  20  5.82489e+09
21  21  5.37352e+09
21  22  5.96107e+09
21  23  6.10221e+09
21  24  6.83753e+09
21  25  8.61961e+09
21  26  6.7953e+09
21  27  5.45698e+09
21  28  5.21233e+09
21  29  4.928e+09
21  30  5.19829e+09
21  31  3.96918e+09
21  32  4.74073e+09
21  33  6.38535e+09
21  34  5.87772e+09
21  35  6.2261e+09
21  36  6.251e+09
21  37  6.34867e+09
21  38  5.48336e+09
21  39  6.81157e+09
21  40  7.67478e+09
21  41  6.06126e+09
21  42  5.89438e+09
21  43  5.77632e+09
21  44  6.26361e+09
21  45  6.23413e+09
21  46  4.81469e+09
21  47  4.74251e+09
21  48  5.16674e+09
21  49  6.20222e+09
21  50  6.47908e+09
22  0  2.89989e+09
22  1  4.42585e+09
22  2  4.80119e+09
22  3  4.88491e+09
22  4  6.02232e+09
22  5  6.04471e+09
22  6  5.50382e+09
22  7  4.87393e+09
22  8  6.09003e+09
22  9  6.9336e+09
22  10  6.28976e+09
22  11  5.90548e+09
22  12  6.37463e+09
22  13  5.95932e+09
22  14  7.08126e+09
22  15  5.81266e+09
22  16  4.49508e+09
22  17  5.07437e+09
22  18  5.50141e+09
22  19  4.82326e+09
22  20  5.91641e+09
22  21  5.3164e+09
22  22  5.12584e+09
22  23  6.24408e+09
22  24  6.60729e+09
22  25  7.9383e+09
22  26  6.36109e+09
22  27  5.68852e+09
