row  column  (images_9.edf P_K*images_9.edf Ar_K**2.3)
25  39  3.93178e+07
25  40  0
25  41  0
25  42  4.48351e+07
25  43  0
25  44  0
25  45  0
25  46  0
25  47  0
25  48  0
25  49  0
25  50  0
26  0  0
26  1  0
26  2  0
26  3  0
26  4  0
26  5  0
26  6  0
26  7  0
26  8  3.68617e+06
26  9  0
26  10  0
26  11  2.80163e+07
26  12  0
26  13  0
26  14  0
26  15  3.6318e+07
26  16  6.18865e+07
26  17  0
26  18  5.39722e+07
26  19  0
26  20  0
26  21  4.62619e+07
26  22  0
26  23  0
26  24  3.15515e+07
26  25  4.73599e+07
26  26  4.97171e+07
26  27  6.92708e+07
26  28  6.53157e+07
26  29  6.69493e+07
26  30  5.85057e+07
26  31  2.74781e+07
26  32  6.92724e+07
26  33  7.32727e+07
26  34  0
26  35  3.99553e+07
26  36  0
26  37  5.3282e+07
26  38  0
26  39  0
26  40  0
26  41  0
26  42  3.10253e+07
26  43  0
26  44  0
26  45  0
26  46  0
26  47  0
26  48  0
26  49  0
26  50  0
27  0  0
27  1  0
27  2  0
27  3  0
27  4  0
27  5  0
27  6  0
27  7  2.53558e+07
27  8  0
27  9  0
27  10  0
27  11  0
27  12  0
27  13  0
27  14  0
27  15  4.13302e+07
27  16  0
27  17  2.53374e+07
27  18  0
27  19  0
27  20  1.02279e+07
27  21  0
27  22  3.97364e+07
27  23  0
27  24  4.62989e+07
27  25  7.91813e+07
27  26  7.6713e+07
27  27  4.42088e+07
27  28  1.0008e+08
27  29  9.73238e+07
27  30  6.55153e+07
27  31  5.53985e+07
27  32  6.22634e+07
27  33  5.52363e+07
27  34  6.6204e+07
27  35  3.91552e+07
27  36  6.35751e+07
27  37  0
27  38  8.97832e+07
27  39  3.79827e+07
27  40  0
27  41  2.00141e+07
27  42  0
27  43  0
27  44  0
27  45  0
27  46  0
27  47  0
27  48  0
27  49  0
27  50  0
28  0  0
28  1  0
28  2  0
28  3  0
28  4  0
28  5  0
28  6  2.19262e+07
28  7  0
28  8  0
28  9  0
28  10  0
28  11  0
28  12  0
28  13  0
28  14  4.3706e+06
28  15  0
28  16  5.74345e+07
28  17  3.23043e+07
28  18  0
28  19  0
28  20  0
28  21  2.45676e+07
28  22  5.64576e+07
28  23  2.97203e+07
28  24  5.84675e+07
28  25  3.41553e+07
28  26  6.74402e+07
28  27  6.8159e+07
28  28  8.39076e+07
28  29  3.89621e+07
28  30  0
28  31  7.22503e+07
28  32  3.56711e+07
28  33  0
28  34  7.96569e+07
28  35  0
28  36  2.84988e+07
28  37  0
28  38  0
28  39  0
28  40  3.39844e+07
28  41  0
28  42  0
28  43  0
28  44  0
28  45  0
28  46  0
28  47  0
28  48  0
28  49  0
28  50  0
29  0  0
29  1  0
29  2  0
29  3  0
29  4  4.68904e+07
29  5  0
29  6  0
29  7  0
29  8  3.34661e+07
29  9  2.66392e+07
29  10  2.35925e+07
29  11  0
29  12  0
29  13  0
29  14  0
29  15  0
29  16  0
29  17  0
29  18  0
29  19  3.24766e+07
29  20  0
29  21  2.97253e+07
29  22  3.56566e+07
29  23  4.32983e+07
29  24  2.62367e+06
29  25  2.78642e+07
29  26  2.72132e+07
29  27  5.7378e+07
29  28  3.9482e+07
29  29  1.82058e+07
29  30  7.02444e+07
29  31  4.63115e+07
29  32  3.42456e+07
29  33  8.49231e+07
29  34  5.76803e+07
29  35  6.77907e+07
29  36  8.03639e+07
29  37  7.84014e+07
29  38  3.79313e+07
29  39  0
29  40  3.93285e+07
29  41  3.91361e+07
29  42  0
29  43  3.8401e+07
29  44  0
29  45  0
29  46  0
29  47  0
29  48  0
29  49  0
29  50  0
30  0  0
30  1  0
30  2  0
30  3  0
30  4  0
30  5  0
30  6  3.02006e+07
30  7  0
30  8  0
30  9  2.38119e+07
30  10  0
30  11  0
30  12  0
30  13  0
30  14  0
30  15  0
30  16  0
30  17  0
30  18  0
30  19  2.78925e+07
30  20  0
30  21  2.97072e+07
30  22  1.72767e+07
30  23  5.96614e+07
30  24  8.46429e+07
30  25  4.74927e+07
30  26  5.48603e+07
30  27  6.44898e+07
30  28  8.11217e+07
30  29  0
30  30  0
30  31  6.3894e+07
30  32  5.97357e+07
30  33  5.99531e+07
30  34  7.05772e+07
30  35  6.44284e+07
30  36  5.10142e+07
30  37  3.75922e+07
30  38  4.37991e+07
30  39  3.53065e+07
30  40  6.22324e+07
30  41  6.62708e+07
30  42  5.83274e+06
30  43  0
30  44  0
30  45  0
30  46  0
30  47  0
30  48  0
30  49  0
30  50  0
31  0  0
31  1  0
31  2  0
31  3  0
31  4  0
31  5  3.01575e+07
31  6  0
31  7  0
31  8  0
31  9  0
31  10  0
31  11  1.06474e+06
31  12  0
31  13  0
31  14  0
31  15  0
31  16  5.40146e+07
31  17  0
31  18  4.40671e+07
31  19  2.42672e+07
31  20  6.26329e+07
31  21  0
31  22  4.49966e+07
31  23  7.50756e+07
31  24  6.61131e+07
31  25  5.87503e+07
31  26  5.96962e+07
31  27  6.0495e+07
31  28  6.65231e+07
31  29  7.16717e+06
31  30  5.90854e+07
31  31  4.44319e+07
31  32  6.77541e+07
31  33  6.62133e+07
31  34  8.93645e+07
31  35  7.40412e+07
31  36  8.50441e+07
31  37  4.74435e+07
31  38  0
31  39  0
31  40  7.40879e+07
31  41  0
31  42  3.29741e+07
31  43  5.46351e+07
31  44  8.32785e+06
31  45  0
31  46  0
31  47  0
31  48  0
31  49  0
31  50  0
32  0  0
32  1  0
32  2  0
32  3  0
32  4  0
32  5  4.69343e+07
32  6  2.80229e+07
32  7  3.33116e+07
32  8  0
32  9  0
32  10  3.08228e+07
32  11  0
32  12  3.70127e+07
32  13  0
32  14  0
32  15  0
32  16  3.39999e+07
32  17  3.36398e+07
32  18  0
32  19  5.25497e+07
32  20  0
32  21  5.7366e+07
32  22  7.06479e+07
32  23  7.62469e+07
32  24  7.00755e+07
32  25  7.71259e+07
32  26  7.61041e+07
32  27  7.53407e+07
32  28  4.4859e+07
32  29  6.75719e+07
32  30  5.46768e+07
32  31  4.38018e+07
32  32  8.4633e+07
32  33  4.23595e+07
32  34  8.23947e+07
32  35  1.00187e+08
32  36  8.11006e+07
32  37  5.33692e+07
32  38  0
32  39  0
32  40  4.33857e+07
32  41  4.13226e+07
32  42  4.8611e+07
32  43  0
32  44  0
32  45  0
32  46  0
32  47  0
32  48  0
32  49  0
32  50  0
33  0  0
33  1  0
33  2  0
33  3  0
33  4  0
33  5  2.72662e+07
33  6  5.48377e+07
33  7  0
33  8  6.67994e+06
33  9  5.44723e+07
33  10  0
33  11  2.82447e+07
33  12  3.87783e+07
33  13  0
33  14  0
33  15  0
33  16  0
33  17  4.28463e+07
33  18  4.24834e+07
33  19  0
33  20  4.87925e+07
33  21  0
33  22  5.64287e+07
33  23  5.3471e+07
33  24  6.60703e+07
33  25  4.30386e+07
33  26  3.83504e+07
33  27  3.90217e+07
33  28  4.41209e+07
33  29  5.68793e+07
33  30  6.32477e+07
33  31  6.56949e+07
33  32  6.87769e+07
33  33  9.46157e+07
33  34  8.72804e+07
33  35  5.58416e+07
33  36  4.62319e+07
33  37  4.52679e+07
33  38  1.17865e+07
33  39  1.56283e+07
33  40  4.39479e+07
33  41  6.30835e+07
