row  column  (images_9.edf Cu_K*images_9.edf Ar_K**2.3)
24  37  3.38897e+07
24  38  4.16248e+07
24  39  0
24  40  0
24  41  0
24  42  2.77312e+07
24  43  4.07432e+07
24  44  0
24  45  8.15377e+07
24  46  3.7951e+07
24  47  8.3675e+06
24  48  4.26133e+06
24  49  549358
24  50  9.07486e+07
25  0  1.52923e+07
25  1  0
25  2  4.76531e+07
25  3  0
25  4  2.15918e+06
25  5  0
25  6  2.16988e+07
25  7  4.15971e+07
25  8  0
25  9  0
25  10  1.31225e+07
25  11  0
25  12  0
25  13  0
25  14  0
25  15  3.0184e+07
25  16  5.63924e+07
25  17  0
25  18  9.65331e+07
25  19  0
25  20  4.19235e+07
25  21  0
25  22  0
25  23  6.23524e+07
25  24  0
25  25  3.56055e+07
25  26  1.63055e+07
25  27  2.34194e+07
25  28  0
25  29  8.92742e+07
25  30  0
25  31  7.37569e+06
25  32  0
25  33  8.05337e+06
25  34  803324
25  35  6.60632e+07
25  36  8.23189e+06
25  37  5.97908e+07
25  38  0
25  39  0
25  40  0
25  41  8.55787e+07
25  42  5.17283e+07
25  43  0
25  44  0
25  45  0
25  46  0
25  47  0
25  48  0
25  49  9.11271e+07
25  50  0
26  0  9.58382e+06
26  1  0
26  2  0
26  3  2.78688e+07
26  4  4.03616e+07
26  5  0
26  6  3.11116e+07
26  7  8.00134e+07
26  8  0
26  9  6.27047e+07
26  10  3.86981e+06
26  11  0
26  12  2.61282e+06
26  13  0
26  14  4.3693e+07
26  15  7.10401e+07
26  16  2.48113e+07
26  17  0
26  18  2.49453e+07
26  19  0
26  20  1.2625e+07
26  21  0
26  22  2.27886e+07
26  23  2.01876e+07
26  24  2.25712e+07
26  25  0
26  26  1.55909e+07
26  27  1.87947e+07
26  28  0
26  29  1.7885e+07
26  30  0
26  31  0
26  32  2.47511e+06
26  33  1.30663e+07
26  34  0
26  35  3.06733e+07
26  36  7.9333e+06
26  37  4.10904e+07
26  38  0
26  39  8.69752e+07
26  40  0
26  41  5.03495e+07
26  42  5.66437e+06
26  43  0
26  44  0
26  45  2.61873e+07
26  46  7.70193e+06
26  47  0
26  48  0
26  49  4.26364e+06
26  50  0
27  0  0
27  1  0
27  2  0
27  3  1.2657e+07
27  4  2.30986e+06
27  5  3.27169e+07
27  6  0
27  7  0
27  8  0
27  9  0
27  10  5.68483e+07
27  11  1.20397e+07
27  12  1.34303e+07
27  13  2.47092e+07
27  14  0
27  15  0
27  16  6.57324e+07
27  17  3.39222e+07
27  18  1.62336e+07
27  19  0
27  20  1.56466e+07
27  21  0
27  22  0
27  23  0
27  24  1.4387e+07
27  25  0
27  26  3.76156e+07
27  27  1.31886e+07
27  28  0
27  29  0
27  30  0
27  31  6.0399e+07
27  32  0
27  33  6.98459e+06
27  34  0
27  35  0
27  36  4.33409e+07
27  37  0
27  38  0
27  39  730038
27  40  0
27  41  0
27  42  0
27  43  3.28663e+07
27  44  0
27  45  0
27  46  0
27  47  0
27  48  0
27  49  1.5978e+07
27  50  5.60906e+06
28  0  3.34317e+07
28  1  2.56281e+07
28  2  0
28  3  0
28  4  1.4632e+07
28  5  0
28  6  0
28  7  3.28744e+06
28  8  7.40178e+07
28  9  0
28  10  0
28  11  0
28  12  2.20877e+07
28  13  0
28  14  0
28  15  0
28  16  1.53538e+08
28  17  2.79243e+07
28  18  1.47112e+07
28  19  0
28  20  0
28  21  3.77634e+06
28  22  0
28  23  0
28  24  2.3381e+07
28  25  6.12125e+06
28  26  0
28  27  6.44226e+06
28  28  3.19504e+06
28  29  0
28  30  4.03141e+07
28  31  0
28  32  4.22147e+07
28  33  8.139e+06
28  34  0
28  35  0
28  36  0
28  37  2.48041e+07
28  38  0
28  39  5.03897e+07
28  40  0
28  41  0
28  42  4.75315e+07
28  43  2.14593e+07
28  44  3.98364e+07
28  45  0
28  46  0
28  47  6.87808e+06
28  48  0
28  49  0
28  50  0
29  0  3.25085e+07
29  1  0
29  2  2.78307e+07
29  3  0
29  4  3.55895e+06
29  5  0
29  6  1.00641e+07
29  7  0
29  8  1.42282e+07
29  9  0
29  10  2.07795e+07
29  11  0
29  12  4.83139e+07
29  13  0
29  14  9.95718e+07
29  15  5.4622e+07
29  16  1.55496e+08
29  17  7.84808e+07
29  18  2.82945e+07
29  19  0
29  20  5.76691e+07
29  21  4.8202e+06
29  22  8.54646e+06
29  23  6.72546e+07
29  24  0
29  25  0
29  26  0
29  27  1.50177e+07
29  28  4.96843e+07
29  29  0
29  30  3.0031e+07
29  31  1.56578e+07
29  32  0
29  33  0
29  34  4.08605e+07
29  35  0
29  36  5.96691e+07
29  37  1.97557e+07
29  38  0
29  39  2.75273e+07
29  40  5.64328e+07
29  41  0
29  42  2.6332e+07
29  43  0
29  44  0
29  45  0
29  46  2.06515e+07
29  47  2.60776e+07
29  48  4.35393e+07
29  49  9.07243e+07
29  50  0
30  0  2.33129e+07
30  1  0
30  2  2.84943e+07
30  3  3.00506e+07
30  4  1.7079e+07
30  5  2.23633e+07
30  6  4.59234e+07
30  7  0
30  8  0
30  9  0
30  10  1.64049e+07
30  11  0
30  12  6.77407e+07
30  13  0
30  14  5.60854e+07
30  15  7.00558e+07
30  16  9.86195e+07
30  17  0
30  18  0
30  19  2.96197e+07
30  20  0
30  21  5.69899e+07
30  22  7.80556e+06
30  23  0
30  24  1.18756e+07
