row  column  (images_1_region2.edf P-K*images_1_region2.edf Ar-K**2.3)
22  20  8.08687e+06
22  21  0
22  22  1.20724e+06
22  23  6.40049e+06
22  24  1.90178e+06
22  25  885266
22  26  0
22  27  1.29175e+06
22  28  4.59533e+06
22  29  0
22  30  0
22  31  2.41878e+06
22  32  132165
22  33  3.48952e+06
22  34  0
22  35  902385
22  36  0
22  37  0
22  38  0
22  39  1.39755e+06
22  40  2.34826e+06
22  41  0
22  42  6.31219e+06
22  43  0
22  44  3.5868e+06
22  45  6.90249e+06
22  46  0
22  47  3.30159e+06
22  48  2.59977e+06
22  49  3.37325e+06
22  50  0
22  51  596710
22  52  2.17416e+06
22  53  4.52069e+06
22  54  3.69248e+06
22  55  0
22  56  0
22  57  0
22  58  1.07536e+06
22  59  37653.9
22  60  256489
22  61  0
22  62  0
22  63  0
22  64  0
22  65  0
22  66  0
22  67  0
23  0  0
23  1  502639
23  2  0
23  3  2.24905e+06
23  4  0
23  5  0
23  6  4.10426e+06
23  7  5.24315e+06
23  8  1.48395e+06
23  9  0
23  10  751645
23  11  883243
23  12  3.96211e+06
23  13  0
23  14  6.1222e+06
23  15  1.99139e+06
23  16  3.07033e+06
23  17  0
23  18  8.22488e+06
23  19  2.18444e+06
23  20  1.01976e+07
23  21  1.96145e+06
23  22  4.23866e+06
23  23  397095
23  24  410556
23  25  7.18546e+06
23  26  2.97592e+06
23  27  0
23  28  1.40928e+06
23  29  1.84147e+06
23  30  1.03432e+06
23  31  0
23  32  0
23  33  0
23  34  0
23  35  0
23  36  0
23  37  1.93339e+06
23  38  0
23  39  5.70714e+06
23  40  5.25787e+06
23  41  4.38716e+06
23  42  1.00301e+06
23  43  2.4093e+06
23  44  2.45804e+06
23  45  3.09565e+06
23  46  1.76317e+06
23  47  0
23  48  6.67858e+06
23  49  0
23  50  4.33296e+06
23  51  99007.1
23  52  0
23  53  463480
23  54  4.56441e+06
23  55  1.98647e+06
23  56  996972
23  57  0
23  58  5.94172e+06
23  59  0
23  60  0
