row  column  (images_1_region2.edf Cu-K*images_1_region2.edf Ar-K**2.3)
8  41  9.68507e+06
8  42  1.93219e+07
8  43  1.73958e+07
8  44  1.31653e+07
8  45  2.27113e+07
8  46  0
8  47  1.54306e+07
8  48  0
8  49  0
8  50  8.31201e+06
8  51  2.12555e+07
8  52  0
8  53  0
8  54  2.11176e+07
8  55  2.29272e+07
8  56  6.34712e+06
8  57  0
8  58  1.83348e+07
8  59  7.60635e+06
8  60  5.78127e+06
8  61  0
8  62  8.12201e+06
8  63  8.36346e+06
8  64  0
8  65  0
8  66  0
8  67  0
9  0  1.93993e+06
9  1  8.60132e+06
9  2  0
9  3  6.77297e+06
9  4  3.89921e+06
9  5  3.54568e+06
9  6  2.7801e+06
9  7  0
9  8  1.39202e+07
9  9  0
9  10  2.77999e+06
9  11  2.25868e+06
9  12  1.63176e+07
9  13  0
9  14  2.09996e+07
9  15  6.94106e+06
9  16  1.23482e+07
9  17  5.99008e+06
9  18  0
9  19  1.04145e+07
9  20  4.11065e+06
9  21  1.20675e+07
9  22  1.07855e+07
9  23  1.44948e+07
9  24  1.12623e+07
9  25  0
9  26  0
9  27  3.59129e+06
9  28  1.16853e+07
9  29  9.03243e+06
9  30  0
9  31  0
9  32  1.17751e+07
9  33  414158
9  34  2.29864e+07
9  35  1.34311e+07
9  36  1.14882e+07
9  37  3.79573e+06
9  38  1.98696e+07
9  39  3.4327e+06
9  40  5.80127e+06
9  41  1.05091e+07
9  42  0
9  43  2.8422e+07
9  44  1.25286e+07
9  45  1.58073e+06
9  46  2.70149e+06
9  47  8.03139e+06
9  48  2.29157e+06
9  49  1.05438e+07
9  50  2.27529e+07
9  51  0
9  52  0
9  53  1.50618e+06
9  54  8.51386e+06
9  55  0
9  56  3.50204e+06
9  57  1.14008e+07
9  58  5.98412e+06
9  59  0
9  60  66439
9  61  3.62318e+06
9  62  0
9  63  0
9  64  0
9  65  4.33165e+06
9  66  0
9  67  0
10  0  3.77231e+06
10  1  3.03575e+06
10  2  553228
10  3  5.79333e+06
10  4  4.33241e+06
10  5  347305
10  6  5.49753e+06
10  7  0
10  8  0
10  9  0
10  10  0
10  11  0
10  12  0
10  13  6.1662e+06
10  14  1.69908e+07
10  15  0
10  16  0
10  17  0
10  18  1.48681e+07
10  19  2.87717e+06
10  20  6.01601e+06
10  21  1.14091e+06
10  22  1.60268e+07
10  23  1.13811e+07
10  24  0
10  25  0
10  26  1.50274e+06
10  27  8.48794e+06
10  28  4.40632e+06
10  29  1.32833e+06
10  30  2.98741e+06
10  31  7.62959e+06
10  32  5.04097e+06
10  33  0
10  34  5.35557e+06
10  35  1.12235e+06
10  36  1.6784e+07
10  37  1.68494e+07
10  38  2.28757e+06
10  39  1.80903e+07
10  40  5.09489e+06
10  41  5.42572e+06
10  42  1.08583e+07
