row  column  (images_10_7176.edf Zn_K*images_10_7176.edf Ar_K**2.3)
10  58  4.18972e+07
10  59  4.05478e+07
10  60  4.51419e+07
10  61  4.1326e+07
10  62  5.01796e+07
10  63  5.57058e+07
10  64  6.19075e+07
10  65  5.99867e+07
10  66  4.40445e+07
10  67  4.07743e+07
10  68  4.79963e+07
10  69  2.95228e+07
10  70  4.21667e+07
10  71  4.10212e+07
10  72  5.4848e+07
10  73  6.26081e+07
10  74  7.11447e+07
10  75  4.37262e+07
10  76  4.91238e+07
10  77  5.32771e+07
10  78  6.18816e+07
10  79  7.94723e+07
10  80  7.42315e+07
10  81  7.94574e+07
10  82  7.08253e+07
10  83  5.32648e+07
10  84  4.53525e+07
10  85  6.13113e+07
10  86  6.93634e+07
10  87  7.70079e+07
10  88  5.76979e+07
10  89  4.49685e+07
10  90  5.32024e+07
10  91  4.62477e+07
10  92  6.53654e+07
10  93  4.24377e+07
10  94  4.63206e+07
10  95  3.08139e+07
10  96  3.21149e+07
10  97  1.91623e+07
10  98  5.0623e+07
10  99  6.99729e+07
10  100  9.10449e+07
11  0  0
11  1  1.23387e+06
11  2  0
11  3  0
11  4  1.80855e+06
11  5  4.69949e+06
11  6  530935
11  7  0
11  8  2.44071e+06
11  9  0
11  10  0
11  11  607911
11  12  0
11  13  5.82373e+06
11  14  0
11  15  0
11  16  0
11  17  2.04378e+06
11  18  7.18276e+06
11  19  5.47404e+06
11  20  4.3344e+06
11  21  9.01226e+06
11  22  7.09348e+06
11  23  7.50433e+06
11  24  4.15829e+06
11  25  0
11  26  5.93585e+06
11  27  1.13746e+07
11  28  7.89325e+06
11  29  7.67337e+06
11  30  1.56101e+07
11  31  2.09444e+07
11  32  2.98986e+07
11  33  3.86049e+07
11  34  4.02328e+07
11  35  3.73459e+07
11  36  7.22171e+07
11  37  8.8481e+07
11  38  1.17637e+08
11  39  8.61506e+07
11  40  6.94727e+07
11  41  6.91101e+07
11  42  7.76225e+07
11  43  6.48574e+07
11  44  6.61383e+07
11  45  5.54012e+07
11  46  4.88891e+07
11  47  5.94038e+07
11  48  6.21627e+07
11  49  7.16075e+07
11  50  7.95988e+07
11  51  7.98457e+07
11  52  8.03148e+07
11  53  9.95337e+07
11  54  9.51805e+07
11  55  6.66786e+07
11  56  7.03703e+07
11  57  6.13991e+07
11  58  4.09697e+07
11  59  4.49838e+07
11  60  5.14458e+07
11  61  3.6775e+07
11  62  4.44263e+07
11  63  5.46285e+07
11  64  4.93699e+07
11  65  5.47937e+07
11  66  4.88543e+07
11  67  4.89292e+07
11  68  4.24178e+07
11  69  3.44903e+07
11  70  4.20716e+07
11  71  4.52563e+07
11  72  4.32769e+07
11  73  5.98921e+07
11  74  6.17945e+07
11  75  4.22647e+07
11  76  4.13811e+07
11  77  7.06585e+07
11  78  5.744e+07
11  79  6.9938e+07
11  80  7.65402e+07
11  81  8.20218e+07
11  82  6.96606e+07
11  83  6.44591e+07
11  84  6.20772e+07
11  85  7.82874e+07
11  86  7.0528e+07
11  87  6.66578e+07
11  88  5.78541e+07
11  89  5.49413e+07
11  90  4.72123e+07
11  91  5.64281e+07
11  92  5.2591e+07
11  93  4.25301e+07
11  94  4.33928e+07
11  95  2.4184e+07
11  96  2.45854e+07
11  97  3.45429e+07
11  98  5.43238e+07
11  99  7.46758e+07
11  100  9.72732e+07
12  0  0
12  1  0
12  2  515519
12  3  3.28023e+06
12  4  0
12  5  2.3608e+06
12  6  436316
12  7  0
12  8  2.55333e+06
12  9  264585
12  10  0
12  11  0
12  12  0
12  13  0
12  14  2.95553e+06
12  15  0
12  16  0
12  17  3.54066e+06
12  18  2.80456e+06
12  19  6.53067e+06
12  20  3.59962e+06
12  21  1.52625e+06
12  22  5.32485e+06
