row  column  (image_36_a.edf S-K*image_36_a.edf Ar-K**2.3)
36  6  6.37925e+07
36  7  4.78543e+07
36  8  3.85769e+07
36  9  5.08529e+07
36  10  4.63558e+07
36  11  5.98304e+07
36  12  5.8936e+07
36  13  9.2736e+06
36  14  7.57151e+07
36  15  6.53613e+07
36  16  5.72426e+07
36  17  7.77823e+07
36  18  7.64127e+07
36  19  6.90098e+07
36  20  9.49725e+07
36  21  0
36  22  9.66763e+07
36  23  8.91223e+07
36  24  5.6003e+07
36  25  5.96693e+07
36  26  7.1194e+07
36  27  7.4772e+07
36  28  8.90028e+06
36  29  5.85237e+07
36  30  5.59777e+07
37  0  1.22215e+07
37  1  5.11414e+07
37  2  6.76027e+07
37  3  4.39932e+07
37  4  3.74101e+07
37  5  4.51477e+07
37  6  3.35829e+07
37  7  4.70714e+07
37  8  7.33127e+07
37  9  6.62437e+07
37  10  3.87398e+07
37  11  6.26488e+07
37  12  5.24802e+07
37  13  5.51725e+07
37  14  3.06856e+07
37  15  3.72934e+07
37  16  8.64863e+07
37  17  4.81952e+07
37  18  4.64122e+07
37  19  5.45183e+07
37  20  7.37853e+07
37  21  5.36837e+07
37  22  6.76842e+07
37  23  5.50732e+07
37  24  7.81055e+07
37  25  6.06472e+07
37  26  0
37  27  4.39569e+07
37  28  7.65906e+07
37  29  5.87011e+07
37  30  6.9985e+07
38  0  3.25138e+07
38  1  0
38  2  4.42397e+07
38  3  5.07583e+07
38  4  0
38  5  1.6524e+07
38  6  7.25198e+07
38  7  8.39587e+07
38  8  0
38  9  9.39357e+06
38  10  4.67394e+07
38  11  4.22856e+07
38  12  4.33531e+07
38  13  4.89254e+07
38  14  6.04415e+07
38  15  7.93127e+07
38  16  6.43291e+07
38  17  8.15717e+07
38  18  6.95175e+07
38  19  7.34881e+07
38  20  5.87615e+07
38  21  5.87191e+07
38  22  1.03965e+08
38  23  7.70331e+07
38  24  6.81399e+07
38  25  6.6875e+07
38  26  6.38307e+07
38  27  5.74628e+07
38  28  6.8071e+07
38  29  6.52531e+07
38  30  6.7155e+07
39  0  0
39  1  3.57007e+07
39  2  4.94182e+07
39  3  3.90259e+07
39  4  6.48383e+07
39  5  0
39  6  5.32327e+07
39  7  6.86019e+07
39  8  4.90377e+07
39  9  6.93387e+06
39  10  6.57252e+07
39  11  0
39  12  7.12478e+07
39  13  4.53212e+07
39  14  6.90034e+07
39  15  0
39  16  5.62371e+07
39  17  7.55215e+07
39  18  5.74618e+07
39  19  5.23821e+07
39  20  0
39  21  6.66519e+07
39  22  8.38122e+07
39  23  9.14936e+07
39  24  8.40753e+07
39  25  4.53638e+07
39  26  4.12814e+07
39  27  4.70188e+07
39  28  7.72157e+07
39  29  8.09955e+07
39  30  6.56569e+07
40  0  6.22868e+07
40  1  6.81814e+07
40  2  3.364e+07
40  3  0
40  4  4.93958e+07
40  5  5.60391e+07
40  6  5.62162e+07
40  7  5.59284e+07
40  8  3.50722e+07
40  9  4.89157e+07
40  10  4.63658e+07
40  11  3.43673e+07
40  12  0
40  13  6.34056e+07
40  14  5.51601e+07
40  15  3.27387e+07
40  16  6.51438e+07
40  17  2.96379e+07
40  18  5.91925e+07
40  19  3.82803e+07
40  20  0
40  21  5.10701e+07
40  22  4.20079e+07
40  23  8.6215e+07
40  24  5.77849e+07
40  25  4.20772e+07
40  26  6.99282e+07
40  27  5.822e+07
40  28  6.46423e+07
40  29  7.74559e+07
40  30  6.43305e+07
41  0  4.97065e+07
41  1  4.97537e+07
41  2  0
41  3  0
41  4  0
41  5  9.01175e+07
41  6  3.8278e+07
41  7  5.10813e+07
41  8  2.91831e+06
41  9  6.40444e+07
41  10  4.53775e+07
41  11  4.93727e+07
41  12  4.64416e+07
41  13  5.67927e+07
41  14  4.4129e+07
41  15  6.77576e+07
41  16  3.90107e+07
41  17  8.60405e+07
41  18  4.80378e+07
41  19  5.98953e+07
41  20  3.83843e+07
41  21  2.01982e+07
41  22  0
41  23  3.36532e+07
41  24  5.41051e+07
41  25  6.58876e+07
41  26  3.89234e+07
41  27  8.81117e+07
41  28  5.10616e+07
41  29  6.38701e+07
41  30  5.33202e+07
42  0  3.82706e+07
42  1  5.95827e+07
42  2  3.7832e+07
42  3  4.06162e+07
42  4  4.55133e+07
42  5  5.15269e+07
42  6  5.89862e+07
42  7  4.73841e+07
42  8  6.96401e+07
42  9  4.0596e+07
42  10  0
42  11  4.51723e+07
42  12  4.17157e+07
42  13  3.82136e+07
42  14  7.00712e+07
42  15  5.32883e+07
42  16  4.36791e+07
42  17  3.19892e+07
42  18  0
42  19  5.61969e+07
42  20  5.14713e+07
42  21  0
42  22  7.24571e+07
42  23  6.28729e+07
42  24  6.81084e+07
42  25  4.16611e+07
42  26  7.21898e+07
42  27  7.92464e+07
42  28  4.36803e+07
42  29  5.04715e+07
42  30  8.66974e+07
43  0  5.07123e+07
43  1  3.65314e+07
43  2  0
43  3  0
43  4  0
43  5  0
43  6  4.75828e+07
43  7  5.07479e+07
43  8  0
43  9  0
43  10  6.13259e+07
43  11  4.37188e+07
43  12  3.44976e+07
43  13  5.06257e+07
43  14  7.20983e+07
43  15  4.61577e+07
43  16  3.66863e+07
43  17  3.83291e+07
43  18  4.4643e+07
43  19  3.4902e+07
43  20  0
43  21  4.52708e+07
43  22  4.40178e+07
43  23  5.14316e+07
43  24  1.58974e+07
43  25  7.41703e+07
43  26  6.56145e+07
43  27  5.87085e+07
43  28  7.38284e+07
43  29  7.98312e+07
