row  column  (image_36_a.edf Mn-K*image_36_a.edf Ar-K**2.3)
30  24  5.63221e+07
30  25  1.22205e+08
30  26  9.44784e+07
30  27  9.35279e+07
30  28  1.17597e+08
30  29  8.08643e+07
30  30  5.19525e+07
31  0  6.40249e+07
31  1  6.55627e+07
31  2  7.99653e+07
31  3  9.02136e+07
31  4  9.99715e+07
31  5  9.51142e+07
31  6  7.63026e+07
31  7  6.68744e+07
31  8  9.10087e+07
31  9  9.5992e+07
31  10  8.67556e+07
31  11  7.61543e+07
31  12  1.19998e+08
31  13  9.12676e+07
31  14  4.39273e+07
31  15  4.25385e+07
31  16  1.02633e+08
31  17  6.51752e+07
31  18  8.6974e+07
31  19  1.26832e+08
31  20  5.01431e+07
31  21  1.02149e+08
31  22  6.78033e+07
31  23  6.3747e+07
31  24  5.68048e+07
31  25  8.07584e+07
31  26  5.97197e+07
31  27  5.05447e+07
31  28  4.82878e+07
31  29  8.74498e+07
31  30  6.45153e+07
32  0  6.4857e+07
32  1  1.06137e+08
32  2  7.16218e+07
32  3  1.04069e+08
32  4  7.84801e+07
32  5  7.7559e+07
32  6  4.83668e+07
32  7  8.77819e+07
32  8  9.34986e+07
32  9  8.85886e+07
32  10  8.93858e+07
32  11  9.48702e+07
32  12  8.51016e+07
32  13  5.7961e+07
32  14  6.46635e+07
32  15  9.36341e+07
32  16  1.05397e+08
32  17  6.86695e+07
32  18  7.35066e+07
32  19  8.13636e+07
32  20  7.03278e+07
32  21  8.14131e+07
32  22  1.03445e+08
32  23  9.13673e+07
32  24  7.11935e+07
32  25  5.24369e+07
32  26  1.26404e+08
32  27  1.05605e+08
32  28  8.09662e+07
32  29  9.44567e+07
32  30  2.65323e+07
33  0  8.86695e+07
33  1  6.97532e+07
33  2  9.87503e+07
33  3  8.13447e+07
33  4  1.05975e+08
33  5  7.9848e+07
33  6  5.17652e+07
33  7  8.4405e+07
33  8  6.36478e+07
33  9  7.75742e+07
33  10  1.12447e+08
33  11  5.6772e+07
33  12  9.16786e+07
33  13  6.92383e+07
33  14  7.58659e+07
33  15  7.74651e+07
33  16  5.62763e+07
33  17  1.10506e+08
33  18  7.22717e+07
33  19  9.1855e+07
33  20  4.42435e+07
33  21  8.40648e+07
33  22  9.7661e+07
33  23  8.4125e+07
33  24  4.78828e+07
33  25  9.15581e+07
33  26  7.76797e+07
33  27  1.13265e+08
33  28  6.75909e+07
33  29  6.83684e+07
33  30  8.26219e+07
34  0  9.86258e+07
34  1  6.91738e+07
34  2  3.92534e+07
34  3  8.8227e+07
34  4  8.65977e+07
34  5  7.67705e+07
34  6  1.15959e+08
34  7  9.07015e+07
34  8  5.90564e+07
34  9  8.93715e+07
34  10  7.44657e+07
34  11  4.18858e+07
34  12  7.81142e+07
34  13  9.47649e+07
34  14  9.1757e+07
34  15  1.14309e+08
34  16  2.63449e+07
34  17  8.26105e+07
34  18  6.46905e+07
34  19  8.39984e+07
34  20  7.87666e+07
34  21  1.05993e+08
34  22  1.13835e+08
34  23  7.829e+07
34  24  7.79797e+07
34  25  9.01828e+07
34  26  8.79549e+07
34  27  8.8861e+07
34  28  9.0704e+07
34  29  1.17839e+08
34  30  8.0087e+07
35  0  1.10044e+08
35  1  7.32731e+07
35  2  1.00899e+08
35  3  8.89372e+07
35  4  9.13791e+07
35  5  6.84591e+07
35  6  4.58334e+07
35  7  6.9102e+07
35  8  1.23242e+08
35  9  7.73585e+07
35  10  1.16884e+08
35  11  5.57583e+07
35  12  6.89972e+07
35  13  5.42153e+07
35  14  7.98972e+07
35  15  8.85159e+07
35  16  4.93844e+07
35  17  1.15317e+08
35  18  7.36197e+07
35  19  7.1514e+07
35  20  6.66059e+07
35  21  5.94971e+07
35  22  4.5381e+07
35  23  6.02959e+07
35  24  1.01511e+08
35  25  5.13481e+07
35  26  1.25744e+08
35  27  1.37153e+08
35  28  1.05816e+08
35  29  8.55287e+07
35  30  5.83311e+07
36  0  9.75147e+07
36  1  7.77262e+07
36  2  7.79316e+07
36  3  1.12977e+08
36  4  7.68838e+07
36  5  7.47665e+07
36  6  3.1613e+07
36  7  7.02259e+07
36  8  7.62765e+07
36  9  1.26005e+08
36  10  6.92049e+07
36  11  9.24656e+07
36  12  9.44578e+07
36  13  7.71851e+07
36  14  7.92082e+07
36  15  1.22693e+08
36  16  9.85477e+07
36  17  8.0894e+07
36  18  8.93141e+07
36  19  6.4558e+07
36  20  1.29384e+08
36  21  8.59712e+07
36  22  6.84639e+07
36  23  7.6987e+07
36  24  5.5379e+07
36  25  7.34008e+07
36  26  1.12099e+08
36  27  1.40775e+08
36  28  9.47188e+07
36  29  7.37096e+07
36  30  8.14536e+07
37  0  6.73687e+07
37  1  8.87327e+07
37  2  6.30892e+07
37  3  4.58313e+07
