row  column  (image_36_a.edf Zn-K*image_36_a.edf Ar-K**2.3)
28  5  1.47345e+08
28  6  1.30736e+08
28  7  1.56592e+08
28  8  1.07201e+08
28  9  1.41756e+08
28  10  1.57816e+08
28  11  1.18028e+08
28  12  1.17653e+08
28  13  1.65757e+08
28  14  1.41749e+08
28  15  1.1162e+08
28  16  1.48291e+08
28  17  1.80316e+08
28  18  1.754e+08
28  19  1.17866e+08
28  20  1.4601e+08
28  21  1.61536e+08
28  22  1.46377e+08
28  23  1.56007e+08
28  24  1.53142e+08
28  25  1.16919e+08
28  26  9.18257e+07
28  27  1.4171e+08
28  28  1.76043e+08
28  29  1.13774e+08
28  30  1.93613e+08
29  0  1.70113e+08
29  1  2.35628e+08
29  2  1.73953e+08
29  3  1.08164e+08
29  4  1.71012e+08
29  5  1.62951e+08
29  6  1.8134e+08
29  7  1.55291e+08
29  8  1.52164e+08
29  9  1.35474e+08
29  10  1.56954e+08
29  11  1.24491e+08
29  12  1.49437e+08
29  13  1.39087e+08
29  14  1.40232e+08
29  15  1.55676e+08
29  16  8.91423e+07
29  17  1.07769e+08
29  18  1.69069e+08
29  19  8.11397e+07
29  20  1.08926e+08
29  21  1.13835e+08
29  22  1.16296e+08
29  23  1.41233e+08
29  24  1.19813e+08
29  25  1.12784e+08
29  26  1.17799e+08
29  27  7.62666e+07
29  28  1.19663e+08
29  29  1.36817e+08
29  30  1.7075e+08
30  0  1.9163e+08
30  1  1.92957e+08
30  2  1.63443e+08
30  3  1.54234e+08
30  4  1.51622e+08
30  5  1.34693e+08
30  6  1.18726e+08
30  7  1.13517e+08
30  8  1.22502e+08
30  9  1.30399e+08
30  10  1.33748e+08
30  11  1.2881e+08
30  12  1.20377e+08
30  13  1.48065e+08
30  14  1.21879e+08
30  15  1.44228e+08
30  16  1.16909e+08
30  17  1.31543e+08
30  18  9.35275e+07
30  19  1.64744e+08
30  20  1.23107e+08
30  21  1.06185e+08
30  22  1.60537e+08
30  23  1.08922e+08
30  24  1.20325e+08
30  25  1.03958e+08
30  26  1.45427e+08
30  27  9.68642e+07
30  28  1.34004e+08
30  29  1.24472e+08
30  30  1.39713e+08
31  0  1.27948e+08
31  1  1.73867e+08
31  2  1.89444e+08
31  3  1.80048e+08
31  4  1.34823e+08
31  5  1.04308e+08
31  6  7.28963e+07
31  7  1.56912e+08
31  8  1.56669e+08
31  9  1.01901e+08
31  10  1.24159e+08
31  11  1.12968e+08
31  12  1.46457e+08
31  13  1.49411e+08
31  14  7.30293e+07
31  15  1.29521e+08
31  16  1.54731e+08
31  17  1.61255e+08
31  18  1.15127e+08
31  19  9.38947e+07
31  20  1.06599e+08
31  21  1.32469e+08
31  22  1.16131e+08
31  23  1.6441e+08
31  24  2.08165e+08
31  25  1.25217e+08
31  26  1.54137e+08
31  27  1.0009e+08
31  28  9.0247e+07
31  29  1.67147e+08
31  30  1.55943e+08
32  0  1.71555e+08
32  1  1.24237e+08
32  2  1.48327e+08
32  3  1.0979e+08
32  4  1.3194e+08
32  5  1.16201e+08
32  6  1.06082e+08
32  7  1.38191e+08
32  8  1.02945e+08
32  9  1.14979e+08
32  10  1.40746e+08
32  11  1.48376e+08
32  12  6.69536e+07
32  13  1.46013e+08
32  14  1.1579e+08
32  15  9.06772e+07
32  16  1.20614e+08
32  17  1.31813e+08
32  18  1.62273e+08
32  19  1.08185e+08
32  20  1.67751e+08
32  21  7.91564e+07
32  22  1.57615e+08
32  23  1.32767e+08
32  24  1.17984e+08
32  25  1.37208e+08
32  26  6.74195e+07
32  27  1.12223e+08
32  28  1.0082e+08
32  29  1.9014e+08
32  30  1.13308e+08
33  0  1.33278e+08
33  1  1.49149e+08
33  2  2.04108e+08
33  3  1.55264e+08
33  4  1.72594e+08
33  5  1.38103e+08
33  6  1.36677e+08
33  7  1.05676e+08
33  8  9.31903e+07
33  9  1.21332e+08
33  10  8.48105e+07
33  11  1.32704e+08
33  12  1.7023e+08
33  13  1.05338e+08
33  14  1.24519e+08
33  15  1.60181e+08
33  16  1.3991e+08
33  17  1.09284e+08
33  18  1.72553e+08
33  19  1.1487e+08
33  20  1.79084e+08
33  21  1.11563e+08
33  22  9.08792e+07
33  23  1.60805e+08
33  24  1.29223e+08
33  25  1.20205e+08
33  26  1.25526e+08
33  27  1.13072e+08
33  28  1.41688e+08
33  29  1.66975e+08
33  30  1.8415e+08
34  0  1.3031e+08
34  1  1.61118e+08
34  2  1.30837e+08
34  3  1.46342e+08
34  4  1.51303e+08
34  5  1.22264e+08
34  6  9.2907e+07
34  7  1.18288e+08
34  8  1.22368e+08
34  9  9.41419e+07
34  10  7.12126e+07
34  11  1.56765e+08
34  12  1.0892e+08
34  13  8.98992e+07
34  14  1.05439e+08
34  15  1.33901e+08
34  16  1.38034e+08
34  17  1.5547e+08
34  18  1.33277e+08
34  19  5.50533e+07
34  20  1.43061e+08
34  21  1.43355e+08
34  22  1.16392e+08
34  23  1.40994e+08
34  24  1.36383e+08
34  25  1.26547e+08
34  26  1.14697e+08
34  27  1.06571e+08
34  28  1.14719e+08
34  29  1.38569e+08
34  30  1.75451e+08
35  0  1.44706e+08
35  1  8.46685e+07
35  2  1.3219e+08
35  3  1.47197e+08
35  4  1.24985e+08
35  5  1.17143e+08
35  6  6.34636e+07
35  7  9.10661e+07
35  8  1.16311e+08
35  9  1.42983e+08
35  10  1.34766e+08
35  11  1.46842e+08
35  12  1.13457e+08
35  13  1.56443e+08
35  14  1.06116e+08
35  15  9.91992e+07
35  16  1.8201e+08
35  17  1.32123e+08
35  18  1.30435e+08
35  19  6.77089e+07
35  20  1.24013e+08
35  21  1.06307e+08
35  22  1.28564e+08
35  23  1.28744e+08
35  24  1.24581e+08
35  25  1.45389e+08
35  26  1.16003e+08
35  27  1.32408e+08
35  28  1.14878e+08
35  29  1.74466e+08
35  30  1.2407e+08
36  0  1.84278e+08
36  1  1.50727e+08
36  2  1.49825e+08
36  3  1.70742e+08
36  4  1.03878e+08
36  5  1.39756e+08
36  6  9.63734e+07
36  7  1.68154e+08
36  8  1.28994e+08
36  9  1.32639e+08
36  10  1.01583e+08
36  11  1.02086e+08
36  12  1.16553e+08
36  13  1.1084e+08
36  14  1.14756e+08
36  15  1.3372e+08
36  16  1.47501e+08
36  17  1.1075e+08
36  18  1.4978e+08
36  19  1.38596e+08
36  20  1.46375e+08
36  21  7.43679e+07
36  22  1.2042e+08
36  23  1.69787e+08
36  24  1.24277e+08
36  25  9.82016e+07
36  26  9.5883e+07
36  27  1.6177e+08
36  28  1.01294e+08
36  29  1.48125e+08
36  30  1.41914e+08
37  0  1.17522e+08
37  1  1.34321e+08
37  2  1.13269e+08
37  3  1.4481e+08
37  4  1.00954e+08
37  5  4.41614e+07
37  6  9.95733e+07
37  7  1.51741e+08
37  8  1.08589e+08
37  9  9.69148e+07
37  10  1.20435e+08
37  11  1.23082e+08
37  12  1.26629e+08
37  13  1.45678e+08
37  14  1.21922e+08
37  15  1.28626e+08
37  16  1.34269e+08
37  17  9.62325e+07
37  18  1.49473e+08
37  19  9.11213e+07
37  20  7.52847e+07
37  21  1.49916e+08
37  22  1.53737e+08
37  23  1.31193e+08
37  24  1.09581e+08
37  25  1.03987e+08
37  26  1.00758e+08
37  27  1.06523e+08
37  28  1.4597e+08
