row  column  (image_36_a.edf Ca-K*image_36_a.edf Ar-K**2.3)
27  22  2.26343e+09
27  23  2.36241e+09
27  24  2.38003e+09
27  25  2.17626e+09
27  26  2.01429e+09
27  27  1.94853e+09
27  28  2.29556e+09
27  29  2.35057e+09
27  30  2.65086e+09
28  0  2.85797e+09
28  1  2.91282e+09
28  2  2.73149e+09
28  3  2.67024e+09
28  4  2.42391e+09
28  5  2.47573e+09
28  6  2.31666e+09
28  7  2.39874e+09
28  8  2.40833e+09
28  9  2.26872e+09
28  10  2.28505e+09
28  11  2.31151e+09
28  12  2.38622e+09
28  13  2.23418e+09
28  14  2.54064e+09
28  15  2.72923e+09
28  16  2.41897e+09
28  17  2.4841e+09
28  18  2.61005e+09
28  19  2.50926e+09
28  20  2.17509e+09
28  21  2.15924e+09
28  22  2.27983e+09
28  23  2.25631e+09
28  24  2.48789e+09
28  25  2.09958e+09
28  26  1.97067e+09
28  27  2.23223e+09
28  28  2.23711e+09
28  29  2.2711e+09
28  30  2.53609e+09
29  0  3.12409e+09
29  1  3.08003e+09
29  2  2.74784e+09
29  3  2.6613e+09
29  4  2.35922e+09
29  5  2.3492e+09
29  6  2.09611e+09
29  7  2.31559e+09
29  8  2.26543e+09
29  9  2.27126e+09
29  10  2.34732e+09
29  11  2.29857e+09
29  12  2.16138e+09
29  13  2.2661e+09
29  14  2.50266e+09
29  15  2.52727e+09
29  16  2.48154e+09
29  17  2.25131e+09
29  18  2.73482e+09
29  19  2.23811e+09
29  20  2.06229e+09
29  21  2.26821e+09
29  22  2.1332e+09
29  23  2.2933e+09
29  24  2.52807e+09
29  25  2.21941e+09
29  26  2.01903e+09
29  27  2.026e+09
29  28  2.08201e+09
29  29  2.10087e+09
29  30  2.28758e+09
30  0  3.03813e+09
30  1  3.03861e+09
30  2  2.71016e+09
30  3  2.64273e+09
30  4  2.50905e+09
30  5  2.44182e+09
30  6  2.43325e+09
30  7  2.29249e+09
30  8  2.13524e+09
30  9  2.41589e+09
30  10  2.30896e+09
30  11  2.32596e+09
30  12  2.32416e+09
30  13  2.31971e+09
30  14  2.40519e+09
30  15  2.59452e+09
30  16  2.38639e+09
30  17  2.45818e+09
30  18  2.53088e+09
30  19  2.27047e+09
30  20  2.13244e+09
30  21  2.13828e+09
30  22  2.26988e+09
30  23  2.37987e+09
30  24  2.17114e+09
30  25  2.03587e+09
30  26  2.19833e+09
30  27  2.10906e+09
30  28  2.18021e+09
30  29  2.2832e+09
30  30  2.33637e+09
31  0  2.84374e+09
31  1  2.66291e+09
31  2  2.63311e+09
31  3  2.51897e+09
31  4  2.43769e+09
31  5  2.13965e+09
31  6  2.27628e+09
31  7  2.48931e+09
31  8  2.39329e+09
31  9  2.16086e+09
31  10  2.21746e+09
31  11  2.19041e+09
31  12  2.37239e+09
31  13  2.21099e+09
31  14  2.4291e+09
31  15  2.40053e+09
31  16  2.67284e+09
31  17  2.27566e+09
31  18  2.48693e+09
31  19  2.37339e+09
31  20  2.21005e+09
31  21  1.95365e+09
31  22  2.14104e+09
31  23  2.28961e+09
31  24  2.2243e+09
31  25  2.11974e+09
31  26  2.09308e+09
31  27  2.288e+09
31  28  2.30395e+09
31  29  2.44876e+09
31  30  2.58271e+09
32  0  2.83923e+09
32  1  2.69295e+09
32  2  2.45114e+09
32  3  2.37128e+09
32  4  2.35834e+09
32  5  2.20274e+09
32  6  2.53696e+09
32  7  2.37179e+09
32  8  2.31633e+09
32  9  2.34435e+09
32  10  2.34815e+09
32  11  2.14422e+09
32  12  2.17745e+09
32  13  2.23577e+09
32  14  2.22859e+09
32  15  2.29838e+09
32  16  2.44779e+09
32  17  2.26762e+09
32  18  2.55166e+09
32  19  2.20131e+09
32  20  2.24294e+09
32  21  2.16684e+09
32  22  2.44317e+09
32  23  2.43001e+09
32  24  2.28512e+09
32  25  2.34125e+09
32  26  2.03e+09
32  27  2.18735e+09
32  28  2.09175e+09
32  29  2.27285e+09
32  30  2.44563e+09
33  0  2.71755e+09
33  1  2.60486e+09
33  2  2.55448e+09
33  3  2.33176e+09
33  4  2.43349e+09
33  5  2.18987e+09
33  6  2.10919e+09
33  7  2.42773e+09
33  8  2.18436e+09
33  9  2.22709e+09
33  10  2.10903e+09
33  11  2.13421e+09
33  12  2.35176e+09
33  13  2.25849e+09
33  14  2.24241e+09
33  15  2.40687e+09
33  16  2.48648e+09
33  17  2.30939e+09
33  18  2.46163e+09
33  19  2.46548e+09
33  20  2.16193e+09
33  21  2.29004e+09
33  22  2.24051e+09
33  23  2.26606e+09
33  24  2.12462e+09
33  25  2.09475e+09
33  26  2.30847e+09
33  27  2.16013e+09
33  28  2.41329e+09
33  29  2.42709e+09
33  30  2.39425e+09
34  0  2.7054e+09
34  1  2.50986e+09
34  2  2.61867e+09
34  3  2.27796e+09
34  4  2.42724e+09
34  5  2.28241e+09
34  6  2.18623e+09
34  7  2.18725e+09
34  8  2.24102e+09
34  9  2.10023e+09
34  10  2.14283e+09
34  11  2.27394e+09
34  12  2.32122e+09
34  13  2.25629e+09
34  14  2.31281e+09
34  15  2.15185e+09
34  16  2.34831e+09
34  17  2.65889e+09
34  18  2.5964e+09
34  19  2.42731e+09
34  20  2.33032e+09
34  21  2.34245e+09
34  22  2.19436e+09
34  23  2.14086e+09
34  24  2.40649e+09
34  25  2.21401e+09
34  26  2.23078e+09
34  27  2.22773e+09
34  28  2.23605e+09
34  29  2.24922e+09
34  30  2.57462e+09
35  0  2.61374e+09
35  1  2.318e+09
35  2  2.26347e+09
35  3  2.3535e+09
35  4  2.19339e+09
35  5  2.37605e+09
35  6  2.1537e+09
35  7  2.24052e+09
35  8  2.15782e+09
35  9  2.0569e+09
35  10  2.33025e+09
35  11  2.27384e+09
35  12  2.11749e+09
35  13  2.37287e+09
35  14  2.26411e+09
35  15  2.21808e+09
35  16  2.5265e+09
35  17  2.50788e+09
35  18  2.41933e+09
35  19  2.40992e+09
35  20  2.1638e+09
35  21  2.16293e+09
35  22  2.28968e+09
35  23  2.20906e+09
35  24  2.24691e+09
35  25  2.27462e+09
35  26  2.14803e+09
35  27  2.29207e+09
35  28  2.2462e+09
35  29  2.24494e+09
35  30  2.34595e+09
36  0  2.4584e+09
36  1  2.39026e+09
36  2  2.1629e+09
36  3  2.35159e+09
36  4  2.24862e+09
36  5  2.32504e+09
36  6  2.22959e+09
36  7  2.18047e+09
36  8  2.04606e+09
36  9  2.16405e+09
36  10  2.10571e+09
36  11  2.03737e+09
36  12  2.09438e+09
36  13  2.08174e+09
36  14  2.24365e+09
36  15  2.41035e+09
36  16  2.25264e+09
36  17  2.4275e+09
36  18  2.43936e+09
36  19  2.30207e+09
36  20  2.27784e+09
36  21  2.17509e+09
36  22  2.36915e+09
36  23  2.3181e+09
36  24  2.19089e+09
36  25  2.09181e+09
36  26  2.11881e+09
36  27  2.24928e+09
36  28  2.0782e+09
36  29  2.32757e+09
36  30  2.34933e+09
37  0  2.16767e+09
37  1  2.27787e+09
37  2  2.26567e+09
37  3  2.15172e+09
37  4  2.17947e+09
